bar	line	string
10.2a	1	HLMTAHGBGFNIV
10.2a	2	ZUQUPNZN
10.2a	3	ABRYCTUGVZXUPB
10.2a	4	MVERZRLQDBHQ
10.2a	5	GKJFHYXODIE
10.2a	6	UGMNCBXCFLDBEY
10.2a	7	VIOHIKNNGUAB
10.2a	8	HFXPCQYZVATXAWIZPVE
10.2b	1	JKGFIJPMCWSAEK
10.2b	2	SKCDKJCDJCYQSZKTZJPXPWIRN
10.2b	3	MQOLCSJTLGAJOKBSSBOMUPCE
10.2b	4	FEWGDRHDDEEUMFFTEEMJXZR
10.2b	5	RHZVIYQIYSXVNQXQWIOVWPJO
10.2b	6	MQOLCSJTLGAJOKBSSBOMUPCE
10.2b	7	FEWGDRHDDEEUMFFTEEMJXZR
10.2b	8	SKCDKJCDJCYQSZKTZJPXPWIRN
10.2b	9	RHZVIYQIYSXVNQXQWIOVWPJO
10.2b	10	MQOLCSJTLGAJOKBSSBOMUPCE
10.2b	11	SKCDKJCDJCYQSZKTZJPXPWIRN
9.1	1	MQOLCSJTLGAJOKBSSBOMUPCE
9.1	2	FEWGDRHDDEEUMFFTEEMJXZR
9.1	3	FEWGDRHDDEEUMFFTEEMJXZR
9.1	4	YQHUDTABGALLOWLS
9.1	5	RHZVIYQIYSXVNQXQWIOVWPJO
9.1	6	VIOHIKNNGUAB
9.1	7	HFXPCQYZVATXAWIZPVE
9.1	8	MVERZRLQDBHQ
9.1	9	KOWVRSRKWTMLDH
9.1	10	ZUQUPNZN
9.1	11	VIOHIKNNGUAB
5.1	1	UGMNCBXCFLDBEY
5.1	2	VIOHIKNNGUAB
5.1	3	HFXPCQYZVATXAWIZPVE
5.1	4	YQHUDTABGALLOWLS
5.1	5	XLYPISNANIRUSFTFWMIY
5.1	6	KOWVRSRKWTMLDH
5.1	7	JKGFIJPMCWSAEK
5.1	8	ABRYCTUGVZXUPB
5.1	9	GKJFHYXODIE
5.1	10	RHZVIYQIYSXVNQXQWIOVWPJO
5.1	11	ZUQUPNZN
5.1	12	GKJFHYXODIE
5.1	13	SKCDKJCDJCYQSZKTZJPXPWIRN
5.1	14	MQOLCSJTLGAJOKBSSBOMUPCE
