# Line-instance inventory re-read from the IACR photographs, 2026-09-25.
# Source images: https://www.iacr.org/misc/china/images/<face>.jpg (1152 px wide,
# except 10.2 which is 508x900 portrait).
# conf: H = read unambiguously at magnification; M = read with one or two
#       glyphs inferred from the repertoire; L = faint/overstruck, identified by
#       length + partial glyphs.
# new:  1 = this line instance is absent from the IACR arrangement page
#       (https://www.iacr.org/misc/china/cryptograms.html); 0 = present there.
face	line	string	conf	new
5.1	1	UGMNCBXCFLDEY	H	0
5.1	2	VIOHIKNNGUAB	H	0
5.1	3	HFXPCQYZVATXAWIZPVE	H	0
5.1	4	YQHUDTABGALLOWLS	H	0
5.1	5	XLYPISNANIRUSFTFWMIY	H	0
5.1	6	KOWVRSRWTMLDH	H	0
5.1	7	JKGFIJPMCWSAEK	H	0
5.1	8	ABRYCTUGVZXUPB	H	0
5.1	9	GKJFHYXODIE	H	0
5.1	10	ZUQUPNZN	H	0
5.1	11	GKJFHYXODIE	H	0
5.1	12	RHZVIYQIYSXVNQXQWIOVWPJO	M	0
5.1	13	SKCDKJCDJCYQSZKTZJPXPWIRN	H	0
5.1	14	MQOLCSJTLGAJOKBSSBOMUPCE	H	0
5.1	15	FEWGDRHDDEEUMFFTEEMJXZR	H	1
7.2	1	GKJFHYXODIE	M	1
7.2	2	KOWVRSRWTMLDH	H	1
7.2	3	YQHUDTABGALLOWLS	H	1
7.2	4	JKGFIJPMCWSAEK	H	1
7.2	5	ABRYCTUGVZXUPB	M	1
7.2	6	MVERZRLQDBHQ	M	1
7.2	7	HLMTAHGBGFNIV	H	1
7.2	8	VIOHIKNNGUAB	H	1
7.2	9	UGMNCBXCFLDEY	H	1
7.2	10	ABRYCTUGVZXUPB	M	1
7.2	11	JKGFIJPMCWSAEK	M	1
7.2	12	ZUQUPNZN	M	1
7.2	13	ZUQUPNZN	M	1
9.1	1	HLMTAHGBGFNIV	H	1
9.1	2	MQOLCSJTLGAJOKBSSBOMUPCE	H	0
9.1	3	FEWGDRHDDEEUMFFTEEMJXZR	H	0
9.1	4	FEWGDRHDDEEUMFFTEEMJXZR	H	0
9.1	5	YQHUDTABGALLOWLS	H	0
9.1	6	RHZVIYQIYSXVNQXQWIOVWPJO	M	0
9.1	7	VIOHIKNNGUAB	H	0
9.1	8	HFXPCQYZVATXAWIZPVE	M	0
9.1	9	MVERZRLQDBHQ	H	0
9.1	10	KOWVRSRWTMLDH	M	0
9.1	11	ZUQUPNZN	H	0
9.1	12	VIOHIKNNGUAB	L	0
9.1	13	JKGFIJPMCWSAEK	L	1
9.1	14	SKCDKJCDJCYQSZKTZJPXPWIRN	L	1
10.2a	1	HLMTAHGBGFNIV	M	0
10.2a	2	ZUQUPNZN	H	0
10.2a	3	ABRYCTUGVZXUPB	M	0
10.2a	4	MVERZRLQDBHQ	M	0
10.2a	5	GKJFHYXODIE	M	0
10.2a	6	UGMNCBXCFLDEY	M	0
10.2a	7	VIOHIKNNGUAB	H	0
10.2a	8	HFXPCQYZVATXAWIZPVE	M	0
10.2b	1	JKGFIJPMCWSAEK	M	0
10.2b	2	SKCDKJCDJCYQSZKTZJPXPWIRN	M	0
10.2b	3	MQOLCSJTLGAJOKBSSBOMUPCE	M	0
10.2b	4	FEWGDRHDDEEUMFFTEEMJXZR	M	0
10.2b	5	RHZVIYQIYSXVNQXQWIOVWPJO	M	0
10.2b	6	MQOLCSJTLGAJOKBSSBOMUPCE	M	0
10.2b	7	FEWGDRHDDEEUMFFTEEMJXZR	M	0
10.2b	8	SKCDKJCDJCYQSZKTZJPXPWIRN	M	0
10.2b	9	RHZVIYQIYSXVNQXQWIOVWPJO	M	0
10.2b	10	MQOLCSJTLGAJOKBSSBOMUPCE	M	0
10.2b	11	SKCDKJCDJCYQSZKTZJPXPWIRN	M	0
11.1	1	ABRYCTUGVZXUPB	H	1
11.1	2	XLYPISNANIRUSFTFWMIY	H	1
11.1	3	MQOLCSJTLGAJOKBSSBOMUPCE	H	1
11.1	4	FEWGDRHDDEEUMFFTEEMJXZR	H	1
11.1	5	ZUQUPNZN	H	1
11.1	6	VIOHIKNNGUAB	H	1
11.1	7	HFXPCQYZVATXAWIZPVE	H	1
11.1	8	GKJFHYXODIE	H	1
11.1	9	HLMTAHGBGFNIV	H	1
11.1	10	MVERZRLQDBHQ	H	1
11.1	11	HLMTAHGBGFNIV	H	1
13.1	1	HLMTAHGBGFNIV	H	1
13.1	2	YQHUDTABGALLOWLS	L	1
13.1	3	YQHUDTABGALLOWLS	H	1
13.1	4	SKCDKJCDJCYQSZKTZJPXPWIRN	H	1
13.1	5	RHZVIYQIYSXVNQXQWIOVWPJO	H	1
13.1	6	FEWGDRHDDEEUMFFTEEMJXZR	M	1
13.1	7	MQOLCSJTLGAJOKBSSBOMUPCE	H	1
13.1	8	XLYPISNANIRUSFTFWMIY	M	1
13.1	9	ABRYCTUGVZXUPB	M	1
13.1	10	HFXPCQYZVATXAWIZPVE	M	1
13.1	11	JKGFIJPMCWSAEK	M	1
13.1	12	KOWVRSRWTMLDH	M	1
13.1	13	ZUQUPNZN	M	1
13.1	14	ZUQUPNZN	M	1
13.1	15	ZUQUPNZN	M	1
13.1	16	FEWGDRHDDEEUMFFTEEMJXZR	H	1
