sign,zodiac_index,folio,ring,ring_size,pos_in_ring,n_words,label_joined,label_spaced
Pisces,1,f70v2,1,10,1,1,otaral,otaral
Pisces,1,f70v2,1,10,2,1,otalar,otalar
Pisces,1,f70v2,1,10,3,1,otalam,otalam
Pisces,1,f70v2,1,10,4,1,dolaram,dolaram
Pisces,1,f70v2,1,10,5,1,okaram,okaram
Pisces,1,f70v2,1,10,6,1,oteosal,oteosal
Pisces,1,f70v2,1,10,7,1,salols,salols
Pisces,1,f70v2,1,10,8,1,okaldal,okaldal
Pisces,1,f70v2,1,10,9,1,ykolaiin,ykolaiin
Pisces,1,f70v2,1,10,10,2,saram,sar am
Pisces,1,f70v2,2,19,1,1,oty,oty
Pisces,1,f70v2,2,19,2,2,okyody,oky ody
Pisces,1,f70v2,2,19,3,2,otyor,oty or
Pisces,1,f70v2,2,19,4,1,okaly,okaly
Pisces,1,f70v2,2,19,5,1,otody,otody
Pisces,1,f70v2,2,19,6,1,otald,otald
Pisces,1,f70v2,2,19,7,2,otaldar,otal dar
Pisces,1,f70v2,2,19,8,1,okody,okody
Pisces,1,f70v2,2,19,9,2,opysam,opys am
Pisces,1,f70v2,2,19,10,1,chckhhy,chckhhy
Pisces,1,f70v2,2,19,11,1,otaly,otaly
Pisces,1,f70v2,2,19,12,2,otalrar,otal rar
Pisces,1,f70v2,2,19,13,2,otaldy,otal dy
Pisces,1,f70v2,2,19,14,1,okeoly,okeoly
Pisces,1,f70v2,2,19,15,1,okydy,okydy
Pisces,1,f70v2,2,19,16,1,okees,okees
Pisces,1,f70v2,2,19,17,1,otalalg,otalalg
Pisces,1,f70v2,2,19,18,1,okasy,okasy
Pisces,1,f70v2,2,19,19,1,otar,otar
Aries-1,2,f70v1,1,5,1,1,okoly,okoly
Aries-1,2,f70v1,1,5,2,1,otolaiin,otolaiin
Aries-1,2,f70v1,1,5,3,3,oteoalolsasaly,oteo alols asaly
Aries-1,2,f70v1,1,5,4,4,oteoeeyotalokealar,oteoeey otal okeal ar
Aries-1,2,f70v1,1,5,5,2,oteasaraydy,oteas araydy
Aries-1,2,f70v1,2,10,1,4,otalchytaramdy,otalchy tar am dy
Aries-1,2,f70v1,2,10,2,2,opcheysal,opchey sal
Aries-1,2,f70v1,2,10,3,1,otokaiman,otokaiman
Aries-1,2,f70v1,2,10,4,1,okalal,okalal
Aries-1,2,f70v1,2,10,5,1,otyly,otyly
Aries-1,2,f70v1,2,10,6,1,oalcheg,oalcheg
Aries-1,2,f70v1,2,10,7,1,otchodals,otchodals
Aries-1,2,f70v1,2,10,8,1,okolshy,okolshy
Aries-1,2,f70v1,2,10,9,1,otshshdy,otshshdy
Aries-1,2,f70v1,2,10,10,2,otolypsharal,otol ypsharal
Aries-2,3,f71r,1,10,1,2,oteosarar,oteos arar
Aries-2,3,f71r,1,10,2,1,okldam,okldam
Aries-2,3,f71r,1,10,3,1,oteoaldy,oteoaldy
Aries-2,3,f71r,1,10,4,1,oteolar,oteolar
Aries-2,3,f71r,1,10,5,1,okeoaly,okeoaly
Aries-2,3,f71r,1,10,6,1,otaleky,otaleky
Aries-2,3,f71r,1,10,7,1,otalsar,otalsar
Aries-2,3,f71r,1,10,8,1,chsary,chsary
Aries-2,3,f71r,1,10,9,2,oteoteysary,oteotey sary
Aries-2,3,f71r,1,10,10,1,otalaly,otalaly
Aries-2,3,f71r,2,5,1,2,otolchdy,otol chdy
Aries-2,3,f71r,2,5,2,1,otoloaram,otoloaram
Aries-2,3,f71r,2,5,3,1,oteeol,oteeol
Aries-2,3,f71r,2,5,4,1,otolchd,otolchd
Aries-2,3,f71r,2,5,5,2,otaldar,otal dar
Taurus-1,4,f71v,1,10,1,2,charorom,char orom
Taurus-1,4,f71v,1,10,2,1,chfaly,chfaly
Taurus-1,4,f71v,1,10,3,1,okolar,okolar
Taurus-1,4,f71v,1,10,4,1,otchody,otchody
Taurus-1,4,f71v,1,10,5,1,olcphy,olcphy
Taurus-1,4,f71v,1,10,6,1,otaiin,otaiin
Taurus-1,4,f71v,1,10,7,1,okaraiin,okaraiin
Taurus-1,4,f71v,1,10,8,3,okararaly,okar ar aly
Taurus-1,4,f71v,1,10,9,3,opalaramdan,opalar am dan
Taurus-1,4,f71v,1,10,10,2,opalorar,opalor ar
Taurus-1,4,f71v,2,5,1,1,ofacfom,ofacfom
Taurus-1,4,f71v,2,5,2,1,otalody,otalody
Taurus-1,4,f71v,2,5,3,1,otalaiin,otalaiin
Taurus-1,4,f71v,2,5,4,2,otarshor,otar shor
Taurus-1,4,f71v,2,5,5,1,sholshdy,sholshdy
Taurus-2,5,f72r1,1,10,1,1,oshodody,oshodody
Taurus-2,5,f72r1,1,10,2,1,chdaiirsainy,chdaiirsainy
Taurus-2,5,f72r1,1,10,3,3,oaiinarary,oaiin ar ary
Taurus-2,5,f72r1,1,10,4,1,okalam,okalam
Taurus-2,5,f72r1,1,10,5,2,ytalshda,ytal shda
Taurus-2,5,f72r1,1,10,6,2,charalf,char alf
Taurus-2,5,f72r1,1,10,7,1,otaraldy,otaraldy
Taurus-2,5,f72r1,1,10,8,2,otaiinotain,otaiin otain
Taurus-2,5,f72r1,1,10,9,3,otalefasainam,otalef as ainam
Taurus-2,5,f72r1,1,10,10,2,ocholcharam,ochol charam
Taurus-2,5,f72r1,2,5,1,1,ofaralar,ofaralar
Taurus-2,5,f72r1,2,5,2,1,otchoshy,otchoshy
Taurus-2,5,f72r1,2,5,3,1,otchdal,otchdal
Taurus-2,5,f72r1,2,5,4,2,okeeyary,okeey ary
Taurus-2,5,f72r1,2,5,5,1,otainy,otainy
Gemini,6,f72r2,0,5,1,1,ofchdady,ofchdady
Gemini,6,f72r2,0,5,2,1,oklairdy,oklairdy
Gemini,6,f72r2,0,5,3,1,okaram,okaram
Gemini,6,f72r2,0,5,4,1,okairy,okairy
Gemini,6,f72r2,0,5,5,1,okeolar,okeolar
Gemini,6,f72r2,1,15,1,1,otaraldy,otaraldy
Gemini,6,f72r2,1,15,2,1,okalar,okalar
Gemini,6,f72r2,1,15,3,1,okal,okal
Gemini,6,f72r2,1,15,4,1,okaly,okaly
Gemini,6,f72r2,1,15,5,1,okal,okal
Gemini,6,f72r2,1,15,6,2,okeeyary,okeey ary
Gemini,6,f72r2,1,15,7,1,oteeary,oteeary
Gemini,6,f72r2,1,15,8,2,otairdy,otair dy
Gemini,6,f72r2,1,15,9,1,okaircham,okaircham
Gemini,6,f72r2,1,15,10,1,okeal,okeal
Gemini,6,f72r2,1,15,11,1,otarar,otarar
Gemini,6,f72r2,1,15,12,1,okaly,okaly
Gemini,6,f72r2,1,15,13,1,orary,orary
Gemini,6,f72r2,1,15,14,1,okyd,okyd
Gemini,6,f72r2,1,15,15,1,otolam,otolam
Gemini,6,f72r2,2,9,1,1,otal,otal
Gemini,6,f72r2,2,9,2,1,salal,salal
Gemini,6,f72r2,2,9,3,1,okam,okam
Gemini,6,f72r2,2,9,4,1,otalshy,otalshy
Gemini,6,f72r2,2,9,5,1,okaldy,okaldy
Gemini,6,f72r2,2,9,6,1,chosar,chosar
Gemini,6,f72r2,2,9,7,1,otam,otam
Gemini,6,f72r2,2,9,8,1,ainaly,ainaly
Gemini,6,f72r2,2,9,9,2,okarcham,okar cham
Cancer,7,f72r3,1,12,1,1,ykolairol,ykolairol
Cancer,7,f72r3,1,12,2,1,olkalaiin,olkalaiin
Cancer,7,f72r3,1,12,3,1,olalsy,olalsy
Cancer,7,f72r3,1,12,4,3,oraiinam,or aiin am
Cancer,7,f72r3,1,12,5,3,osassheeen,os as sheeen
Cancer,7,f72r3,1,12,6,1,otosaiin,otosaiin
Cancer,7,f72r3,1,12,7,3,opoiisooinalaes,opoiisooin al aes
Cancer,7,f72r3,1,12,8,2,ypaiinaloly,ypaiin aloly
Cancer,7,f72r3,1,12,9,2,oteeydaiin,oteey daiin
Cancer,7,f72r3,1,12,10,1,oeeeodaiin,oeeeodaiin
Cancer,7,f72r3,1,12,11,1,ofsholdy,ofsholdy
Cancer,7,f72r3,1,12,12,2,opoeeyokaiin,opoeey okaiin
Cancer,7,f72r3,2,11,1,1,olfsheoral,olfsheoral
Cancer,7,f72r3,2,11,2,2,oralkam,or alkam
Cancer,7,f72r3,2,11,3,1,ytairal,ytairal
Cancer,7,f72r3,2,11,4,2,oeeesaiin,oeees aiin
Cancer,7,f72r3,2,11,5,1,ory,ory
Cancer,7,f72r3,2,11,6,2,ocheyfydy,ochey fydy
Cancer,7,f72r3,2,11,7,3,ofaisoseesaly,ofais o seesaly
Cancer,7,f72r3,2,11,8,2,ykairaiinoiral,ykairaiin oiral
Cancer,7,f72r3,2,11,9,1,okalar,okalar
Cancer,7,f72r3,2,11,10,1,orara,orara
Cancer,7,f72r3,2,11,11,2,oeaiinolaIkhy,oeaiin olaIkhy
Cancer,7,f72r3,3,7,1,1,oletal,oletal
Cancer,7,f72r3,3,7,2,1,opalal,opalal
Cancer,7,f72r3,3,7,3,1,yfary,yfary
Cancer,7,f72r3,3,7,4,1,osaiisal,osaiisal
Cancer,7,f72r3,3,7,5,2,ytoarshor,ytoar shor
Cancer,7,f72r3,3,7,6,1,octho,octho
Cancer,7,f72r3,3,7,7,1,oral,oral
Leo,8,f72v3,1,18,1,1,ok*olo,ok*olo
Leo,8,f72v3,1,18,2,1,ogeom,ogeom
Leo,8,f72v3,1,18,3,1,oreeey,oreeey
Leo,8,f72v3,1,18,4,1,okam,okam
Leo,8,f72v3,1,18,5,1,okey,okey
Leo,8,f72v3,1,18,6,1,oteeeody,oteeeody
Leo,8,f72v3,1,18,7,1,okyeeshy,okyeeshy
Leo,8,f72v3,1,18,8,1,**ofaiin,**ofaiin
Leo,8,f72v3,1,18,9,1,okoly,okoly
Leo,8,f72v3,1,18,10,1,otoly,otoly
Leo,8,f72v3,1,18,11,1,ofalals,ofalals
Leo,8,f72v3,1,18,12,2,reeeosocfhey,reeeos ocfhey
Leo,8,f72v3,1,18,13,2,daiinchcpy,daiin chcpy
Leo,8,f72v3,1,18,14,2,oteeydchyr,oteey dchyr
Leo,8,f72v3,1,18,15,1,cheolpy,cheolpy
Leo,8,f72v3,1,18,16,1,okeeol,okeeol
Leo,8,f72v3,1,18,17,1,okaly,okaly
Leo,8,f72v3,1,18,18,1,okaldy,okaldy
Leo,8,f72v3,2,12,1,2,otolyyty,otoly yty
Leo,8,f72v3,2,12,2,1,sholeey,sholeey
Leo,8,f72v3,2,12,3,1,oky,oky
Leo,8,f72v3,2,12,4,1,chcthhy,chcthhy
Leo,8,f72v3,2,12,5,1,loly,loly
Leo,8,f72v3,2,12,6,1,oeemy,oeemy
Leo,8,f72v3,2,12,7,2,odairan,odair an
Leo,8,f72v3,2,12,8,1,okary,okary
Leo,8,f72v3,2,12,9,2,oecsaiin,oecs aiin
Leo,8,f72v3,2,12,10,1,oteesod,oteesod
Leo,8,f72v3,2,12,11,1,epal,epal
Leo,8,f72v3,2,12,12,1,otaly,otaly
Virgo,9,f72v2,1,18,1,1,oeedey,oeedey
