author,genre,period,identifier,raw_bytes,cleaned_words,n_chunks,long_s_rate
Philip_Francis,private_letter,1758-1814,francisletters01franuoft,591771,77971,38,1e-05
Philip_Francis,private_letter,1774-1818,francisletters02franuoft,637653,85582,42,1e-05
Lord_Chesterfield,private_letter,1737-1768,letterstohisson01chesiala,1078111,148226,74,1e-05
Horace_Walpole,private_letter,1741-1785,lettersofhoracew03walp,865682,115322,57,7e-05
Thomas_Gray,private_letter,1734-1771,lettersofthomasg00gray,684470,91854,45,6e-05
James_Boswell,private_letter,1758-1795,lettersofjamesbo00boswuoft,781912,105265,52,0.0002
Laurence_Sterne,private_letter,1739-1768,letterslaterevm00stergoog,329689,51303,25,0.01386
Edward_Gibbon,private_letter,1753-1794,privatelettersof02gibb,1215310,154123,77,6e-05
David_Hume,private_letter,1751-1776,lettersdavidhum00humegoog,1218430,182808,91,0.00011
Samuel_Johnson,private_letter,1731-1784,letterssamueljo00johngoog,1121050,163167,81,7e-05
William_Cowper,private_letter,1765-1800,letterswilliamc00cowpgoog,606237,103066,51,0.0001
Edmund_Burke,private_letter,1744-1797,correspondencer01burkgoog,1069524,143122,71,0.00014
John_Wilkes,political_prose,1762-1769,bim_eighteenth-century_english-liberty-being-a_wilkes-john_1769_1,489782,66683,33,0.0004
Richard_Price,political_prose,1776,observationsonna00pric,211694,27724,13,0.01763
Thomas_Pownall,political_prose,1774,administrationb01wargoog,399344,55178,27,0.01724
Hugh_Boyd,political_prose,1770-1794,miscellaneouswor01boydiala,794607,102957,51,0.01996
Philip_Francis,political_prose,1784,twospeechesinhou00franiala,155867,21207,10,0.02086
Edmund_Burke,published_prose,1770,gutenberg_2173,297329,45909,22,0.00011
Edmund_Burke,published_prose,1756-1790,gutenberg_15043,937555,147949,73,1e-05
Edmund_Burke,published_prose,1756-1790,gutenberg_15198,979272,159423,79,5e-05
Samuel_Johnson,published_prose,1750-1760,gutenberg_43656,1071095,164422,82,0.00023
Samuel_Johnson,published_prose,1750-1760,gutenberg_11397,954420,149886,74,0.00031
David_Hume,published_prose,1741-1777,gutenberg_36120,234513,34939,17,0.00017
