analysis,m_sign,target,train_a,train_b,train_c,train_d,train_odds_ratio,train_p,train_q,validation_a,validation_b,validation_c,validation_d,validation_odds_ratio,validation_p,validation_q
header_position,M157,first_obverse_line,215,44,452,3226,34.53029983239183,3.2016229178196238e-133,3.585817667957979e-131,69,12,95,893,52.01947643979057,1.0333753998420114e-24,2.68677603958923e-23
header_position,M288,first_obverse_line,17,338,650,2932,0.23306126295305168,7.106403027359699e-13,1.9897928476607158e-11,3,93,161,812,0.18832469661098325,3.691895316709318e-09,4.799463911722113e-08
header_position,M327,first_obverse_line,58,22,609,3248,13.857424118129614,1.519835639005374e-28,8.511079578430095e-27,17,8,147,897,12.52741774675972,4.911696451919383e-07,4.2568035916634644e-06
header_position,M297,first_obverse_line,4,141,663,3129,0.14999960057623535,9.757773572702489e-08,9.935187637660717e-07,2,46,162,859,0.2843672456575682,7.275132275132344e-05,0.00047288359788360233
header_position,M342,first_obverse_line,35,26,632,3244,6.871787605339697,6.818066912535328e-13,1.9897928476607158e-11,9,4,155,901,12.239013933547696,0.000919510237544099,0.004781453235229315
header_position,M354,first_obverse_line,1,69,666,3201,0.10367160135357581,6.637325973802153e-05,0.0003539907186027815,0,17,164,888,0.15432045158488927,0.006944444444444469,0.0300925925925927
header_position,M036,first_obverse_line,5,140,662,3130,0.18497549184180487,6.764888514821574e-07,6.313895947166803e-06,4,50,160,855,0.47496992689923195,0.008344173482885341,0.030992644365002698
numeral_association,M297,N39B,103,94,390,3232,9.066215474666178,2.948670687684545e-43,1.5568981230974397e-40,32,23,96,899,12.89108146841583,4.385332409747139e-06,0.00023680795012634553
numeral_association,M297,N24,31,166,180,3442,3.608220408774425,5.418023834498847e-08,2.860716584615391e-06,13,42,51,944,5.825585379782981,0.00030402662116529476,0.005472479180975306
numeral_association,M297,N01,97,100,2737,885,0.3138144891978464,1.6352287245067557e-14,2.4668593329701912e-12,20,35,731,264,0.20880305757992934,0.00029696729663097155,0.005472479180975306
numeral_association,M263,N30C,0,145,226,3448,0.05232015657358731,0.00021491062544260432,0.004364338855142118,0,46,68,936,0.14700572953457341,0.0012307554600787746,0.016615198711063456
numeral_association,M263,N01,138,7,2696,978,6.7011434575684525,2.3109560371631973e-11,1.626913050162891e-09,38,8,713,291,1.8504884785028237,0.001749703554343871,0.018896798386913806
numeral_association,M243,N39B,14,17,479,3309,5.718784448085803,9.680636978322976e-06,0.0003006691955620313,8,7,120,915,8.610511756569847,0.002467279309384563,0.022205513784461065
numeral_association,M106,N24,11,30,200,3578,6.7295286374228365,8.219899996316409e-06,0.0002630367998821251,3,15,61,971,3.5670076055599265,0.005059860725189959,0.039033211308608255
numeral_association,M288,N45,41,398,27,3353,12.699463898711075,1.970359791471297e-22,5.201749849484224e-20,15,103,8,924,16.288434214265415,0.00711538461538455,0.048028846153845714
