sense,author,work,form,corpus,source_id,note,context
boat,LL:isidore__19,,musculus,LL,isidore__19.shtml,,"[13] Rostratae naves vocatae ab eo quod in fronte rostra aerea habeant propter scopulos, ne feriantur et conlidantur. [14] Longae naves sunt quas dromones vocamus, dictae eo quod longiores sint ceteris: cuius contrarius musculus, curtum navigium. Dromo autem a decurrendo dictus; cursum enim Graeci DROMON vocant. [15] Classis dicta est a Graeco vocabulo, APO TON KALON, id est lignis; unde et calones naviculae quae ligna militibus portant. [16] A"
boat,LL:notitia1,,musculariorum,LL,notitia1.html,,"Campania: Praefectus classis Misenatium, Miseno. In Gallia: In provincia Riparensi: Praefectus classis fluminis Rhodani, Viennae siue Arelati. Praefectus classis barcariorum, Ebruduni Sapaudiae. Praefectus militum musculariorum, Massiliae Graecorum. Tribunus cohortis primae Flaviae Sapaudicae, Calaronae. In provincia Novempopulana: Tribunus cohortis Noevempopulanae, Lapurdo. In provincia Lugdunensi prima: Praefectus classis Araricae, Caba"
boat,LL:notitia2,,musculorum,LL,notitia2.html,,"e cohortis quintae pedaturae superioris, Nouioduno. Praefectus ripae legionis primae Ioviae cohortis quintae pedaturae inferioris, Accisso. Praefectus ripae legionis primae Ioviae cohortis ..... et secundae Herculiae musculorum Scythicorum et classis, Inplateypegiis. Officium autem habet ita: Principem de eodem officio, qui completa militia adorat protector. Numerarios et adiutores eorum. Commentariensem. Adiutorem. A libellis siue subscr"
fly,Boethius,De consolatione philosophiae,muscularum,PERSEUS,stoa0058/stoa001/stoa0058.stoa001.perseus-lat2.xml,"Boethius Cons. 2 pr.6: MUSCULA = dim. of musca, a fly.","esidere uideamini? Nunc si inter mures uideres unum aliquem ius sibi ac potestatem prae ceteris uindicantem, quanto mouereris cachinno! Quid uero, si corpus spectes, inbecillius homine reperire queas quos saepe muscularum quoque uel morsus uel in secreta quaeque reptantium necat introitus? Quo uero quisquam ius aliquod in quempiam nisi in solum corpus et quod infra corpus est, fortunam loquor, possit exserere? Num quidquam libero impe"
fly,LL:arnobius__arnobius2,,muscularum,LL,arnobius__arnobius2.shtml,Arnobius 2: flies.,"que cotidie fortunae, 2. et modo turpia facerent modo paterentur obscena, naufragiis ruinis incendiorum conflagrationibus ut perirent, pauperies alias, alias ut mendicitas premeret, ut ferarum paterentur aliae laniatus, muscularum aliae ut interirent veneno, claudae ut incederent aliae, ut aliae lumen amitterent, ut articulis sederent aliae colligatis, morbis denique obiectarentur ut cunctis, quos infelix et miseranda mortalitas diversarum sustin"
fly,LL:augustine__serm8,,musculas,LL,augustine__serm8.shtml,"Augustine Serm. 8: same, flies.","defecerunt? nihil hic quaererem? frustra factum uel scriptum putarem? faciunt magi faraonis contra Moysen de uirgis serpentes, de aqua sanguinem, faciunt ranas, faciunt haec. ueniunt ad tertiam plagam, id est, ad illas musculas quae appellantur scinifes, et ibi deficiunt qui fecerunt serpentes, qui fecerunt ranas, deficiunt ad muscas. non est prorsus, non est sine causa. pulsate mecum. tertia plaga haec cui contraria est? praecepto dei tertio,"
fly,LL:augustine__trin3,,musculae,LL,augustine__trin3.shtml,Augustine Trin. 3: musculae = tiny flies (sciniphes).,agi pharaonis similiter serpentes fecerunt et alia similia. Sed illud amplius est admirandum quomodo magorum illa potentia quae serpentes facere potuit ubi ad muscas minutissimas uentum est omnino defecit. Scinifes enim musculae sunt breuissimae qua tertia plaga superbus aegyptius populus caedebatur. Ibi certe deficientes magi dixerunt: Digitus dei est hoc. Vnde intellegi datur ne ipsos quidem transgressores angelos et aerias potestates in imam
fly,LL:orosius__orosius7,,musculas,LL,orosius__orosius7.shtml,"Orosius 7: same, flies.","er ostendit satellitum militumque eius improbis effrenatisque discursibus cruentissimi iussa principis exsequentum ad inopiam paene omnes ciues Romanos adactos exilioque dispersos. 6 ibi tertia uexatio habuit sciniphes, musculas scilicet paruissimas ac saeuissimas, quae mediis saepe aestibus per loca squalida coadunatim uibrando densatae tinnulo uolatu adlabi solent capillisque hominum ac pecudum saetis cum urente morsu interseri: hic itidem te"
military-shed,Julius Caesar,Gallic War,musculos,PERSEUS,phi0448/phi001/phi0448.phi001.perseus-lat2.xml,,"mque tempore equitatus ad campestres munitiones accedere et reliquae copiae pro castris sese ostendere coeperunt. Vercingetorix ex arce Alesiae suos conspicatus ex oppido egreditur; crates, longurios, musculos, falces reliquaque quae eruptionis causa paraverat profert. Pugnatur uno tempore omnibus locis, atque omnia temptantur: quae minime visa pars firma est, huc concurritur. Romanorum manus tantis muniti"
military-shed,Julius Caesar,Civil War,musculum,PERSEUS,phi0448/phi002/phi0448.phi002.perseus-lat2.xml,,"vulnere ac periculo vi tabulata exstruxerunt fenestrasque, quibus in locis visum est, ad tormenta mittenda in struendo reliquerunt. Ubi ex ea turri quae circum essent opera tueri se posse sunt confisi, musculum pedes lx longum ex materia bipedali, quem a turri latericia ad hostium turrim murumque perducerent, facere instituerunt. cuius musculi haec erat forma. duae primum trabes in solo aeque longae distantes inter se"
