id	witness	work	locus	edition_scan	date_given	figure	what_is_counted	verbatim_quote	verified_in
D1	Durán	Historia de las Indias de Nueva España	cap. on the dedication (Ramírez ed. vol. I, printed p. 353)	historiadelasind01dur (Getty) + historia-de-las-indias-...-tomo-i (2nd scan)	(1487 implied by narrative)	80400	captives assembled and counted in rows by province, before the killing	…se alió que auia entre vetxotzincas y tlaxcaltecas y atliscas y tliliuhquitepecas y cholultecas y tecoacas y cacatecas, capotecas y guastecas, tzincoacas y tuçapanecas y tlapanecas, ochenta mili y quatrocientos hombres que sacrificar en la estrena del templo de México	both scans
D2	Durán	Historia de las Indias de Nueva España	same chapter (printed p. 357)	same	—	80400	those who died, over four days	Dice la historia que turó este sacrificio quatro dias arreo, desde la mañana hasta puesta del sol, y que murieron en él, como dexo dicho, ochenta mili y quatrocientos hombres de diversas provincias y ciudades, lo qual se me higo tan increíble, que si la historia no me forgara y el auello aliado en otros muchos lugares, fuera desta historia escrito y pintado, no lo osara poner	scanB verbatim; scanA has OCR 'quatrocicntos'
D3	Durán	Historia de las Indias de Nueva España	same chapter (printed p. 359)	same	—	80400	skulls mounted on the renewed skull-rack	trayendo las ochenta mili calauernas y quatrocientas mas, fueron puestas en la recien hecha palicada, todas espetadas por las sienes	both scans
T0	Tezozómoc	Crónica Mexicana	dedication narrative, Ahuitzotl	modern critical ed. (scanB) and Orozco y Berra 1878 (scanA)	(1487 implied)	NONE	no total is given for the dedication at all	(absence)	both editions
T1	Tezozómoc	Crónica Mexicana	dedication chapter, aside on Cortés's soldiers	modern critical ed. (scanB)	1519	62000	skulls on the rack counted by two of Cortés's soldiers	afirman dos soldados de aquel tiempo aber contado sesenta y dos mill calabernas de sacrificados yndios	scanB
T1b	Tezozómoc	Crónica Mexicana	same sentence	Orozco y Berra 1878 (scanA, printed p. ~519)	1519	72000	same sentence — EDITIONS DISAGREE	afirman dos soldados de aquel tiempo haber contado setenta y dos mil calaveras de indios sacrificados	scanA
T2	Tezozómoc	Crónica Mexicana	Motecuhzoma I chapter	Orozco y Berra 1878 (scanA, printed p. 323)	—	62000	skulls counted by eight Spanish soldiers	subieron á lo alto del Cú ocho soldados españoles, y contaron haber en las paredes sesenta y dos mil calaveras	scanA
I1	Ixtlilxóchitl	Historia de la nación chichimeca, cap. LX	Obras históricas ed. Chavero vol. II p. 273	obrashistricasd00ixtlgoog + obrashistricasd00chavgoog + Vázquez 1985 standalone	1487 (8 Acatl)	80400	captives sacrificed, ITEMISED: tzapoteca 16,000; tlapaneca 24,000; huexotzinca+atlixca 16,000; Tizauhcoac 24,400	…se juntaron con los que el rey de México tenía de solas cuatro naciones que fueron cautivas en las guerras atrás referidas, ochenta mil y cuatrocientos hombres en este modo: de la nación tzapoteca diez y seis mil, de los tlapanecas veinticuatro mil, de los huexotzincas y atlixcas otros diez y seis mil, de los de Tizauhcoac veinticuatro mil y cuatrocientos, que vienen á montar el número referido	3 independent editions/scans, identical
I2	Ixtlilxóchitl	Historia de la nación chichimeca, cap. LX	same	same	1487	100000+	further victims over the rest of the year; his explicit harmonisation of other authors	sin otros cautivos de otras guerras de menos cuantía que después en el discurso del año fueron sacrificados, que vinieron á ser más de cien mil hombres; y así los autores que exceden en el número, se entiende con los que después se sacrificaron	3 editions
M1	Mendieta	Historia eclesiástica indiana	Cortés-and-Luther chapter	Icazbalceta 1870 (historiaeclesis00mendgoog) + 2008 ed.	1485	80400	persons sacrificed at the dedication	el año en que Cortés nació, que fué el de mil y cuatrocientos y ochenta y cinco, se hizo en la ciudad de México una solemnísima fiesta en dedicación del templo mayor de los ídolos … se sacrificaron ochenta mil y cuatrocientas personas	both editions
