lab_id,object,museum_no,material,attribution,d13C,c14bp,sd,source_table
GrA-64347,Ahmose Temple mudbrick,BM EA 32689,pure straw,Ahmose (early 18th Dyn),-12.4,3230,60,T4
GrA-59737,Ahmose Temple mudbrick,BM EA 32689,straw & mud,Ahmose (early 18th Dyn),-23.5,3290,40,T4
GrM-15973,Ahmose Temple mudbrick,BM EA 32689,straw & mud,Ahmose (early 18th Dyn),-24.9,3285,45,T4
GrM-15201,Ahmose Temple mudbrick,BM EA 32689,straw & mud,Ahmose (early 18th Dyn),-25.1,3385,20,T4
GrM-14176_14177,Ahmose Temple mudbrick,BM EA 32689,straw & mud,Ahmose (early 18th Dyn),-25.6,3335,75,T4
GrA-59770,Satdjehuty burial cloth,BM EA 37106,linen,early 18th Dyn,-25.0,3310,25,T5
GrM-31118,stick shabti Teti-sa-intef,UC 40178,wood (holocellulose),17th Dyn (Petrie),-26.9,3295,28,T6
GrM-12680,stick shabti Tet-sa,UC 40179,wood (holocellulose),17th Dyn (Petrie),-26.2,3224,30,T6
GrM-12683,stick shabti Teti-sa-intef,UC 40181,wood (holocellulose),17th Dyn (Petrie),-29.3,3185,30,T6
GrM-12684,stick shabti Teti-sa-intef,UC 40182,wood (holocellulose),17th Dyn (Petrie),-26.8,3288,30,T6
GrM-12685,stick shabti Teti-sa-intef,UC 40184,wood (holocellulose),17th Dyn (Petrie),-26.6,3251,30,T6
GrM-31119,stick shabti Djehuty,UC 40196,wood (holocellulose),17th Dyn (Petrie),-28.5,3300,30,T6
