source,lab_id,site_or_object,context,material,c14bp,sd,orig_ref,relevance
manning2022_S1A,DEM-94,"Trianda, Rhodes",LBIA/LMIA mature/destruction below Thera tephra,charcoal,3347,46,Manning 2022 ref 73,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,DEM-93,"Trianda, Rhodes",LBIA/LMIA mature/destruction below Thera tephra,charcoal,3358,48,Manning 2022 ref 73,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-10643,"Trianda, Rhodes",LMIA late below Thera tephra,Quercus sp. twig,3367,39,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-11884,"Trianda, Rhodes",LMIA late below Thera tephra,Quercus sp. twig,3344,32,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,GrA-30336,"Palaikastro promontory, Crete",Thera tsunami deposit,cattle bone,3310,35,"Manning 2022 ref 52,74",eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,GrA-30339,"Palaikastro promontory, Crete",Thera tsunami deposit,cattle bone,3390,35,"Manning 2022 ref 52,74",eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,GrA-28991,"Palaikastro, Crete",Drain deposit with stratified Thera tephra,Goat/sheep bone/jaw,3325,40,Manning 2022 ref 74,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,GrA-29041,"Palaikastro, Crete",Drain deposit with stratified Thera tephra,Goat/sheep bone/jaw,3345,40,Manning 2022 ref 74,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,GrA-29042,"Palaikastro, Crete",Drain deposit with stratified Thera tephra,Tooth animal,3385,40,Manning 2022 ref 74,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-38858,"Çeşme-Bağlararası, Turkey",Thera tsunami deposit,Hordeum vulgare,3275,17,Manning 2022 ref 45,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-38881,"Çeşme-Bağlararası, Turkey",Thera tsunami deposit,Bos taurus,3367,22,Manning 2022 ref 45,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-38973,"Çeşme-Bağlararası, Turkey",Thera tsunami deposit,Ovis aries,3318,19,Manning 2022 ref 45,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-38972,"Çeşme-Bağlararası, Turkey",Thera tsunami deposit,Sus scrofa,3316,20,Manning 2022 ref 45,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-38857,"Çeşme-Bağlararası, Turkey",Thera tsunami deposit,Olea europaea,3312,17,Manning 2022 ref 45,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-38950,"Çeşme-Bağlararası, Turkey",Thera tsunami deposit,charcoal,3384,22,Manning 2022 ref 45,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,D-AMS 019172,"Çeşme-Bağlararası, Turkey",Thera tsunami deposit,bone (unidentified),3372,27,Manning 2022 ref 45,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-38966,"Çeşme-Bağlararası, Turkey",Thera tsunami deposit,charcoal,3297,19,Manning 2022 ref 45,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,D-AMS 019173,"Çeşme-Bağlararası, Turkey",Thera tsunami deposit,charcoal,3291,30,Manning 2022 ref 45,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,Lyon7920,"Letoon Sanctuary, Eşençay Delta",Organic layer associated/immediately below Thera tephra,Organic-rich debris layer,3295,30,Manning 2022 ref 54,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12301,"Miletos, Turkey",LMIA below Thera tephra,Quercus sp. Relative Years (RY)1000-1010,3439,30,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12302,"Miletos, Turkey",LMIA below Thera tephra,Quercus sp. RY1000-1010,3386,31,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12303,"Miletos, Turkey",LMIA below Thera tephra,Quercus sp. RY1010-1020,3467,31,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12407,"Miletos, Turkey",LMIA below Thera tephra,Quercus sp. RY1010-1020,3385,34,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12304,"Miletos, Turkey",LMIA below Thera tephra,Quercus sp. RY1020-1030,3404,31,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12305,"Miletos, Turkey",LMIA below Thera tephra,Quercus sp. RY1020-1030,3459,31,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12306,"Miletos, Turkey",LMIA below Thera tephra,Quercus sp. RY1030-1040,3416,31,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12307,"Miletos, Turkey",LMIA below Thera tephra,Quercus sp. RY1030-1040,3425,31,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12308,"Miletos, Turkey",LMIA below Thera tephra,Quercus sp. RY1040-1050,3361,31,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
