word_id,side,seq,n_signs,signs,oblique,has_illegible
A1,A,1,5,02-12-13-01-18,1,0
A2,A,2,3,24-40-12,0,0
A3,A,3,3,29-45-07,1,0
A4,A,4,3,29-29-34,0,0
A5,A,5,5,02-12-04-40-33,0,0
A6,A,6,4,27-45-07-12,0,0
A7,A,7,3,27-44-08,0,0
A8,A,8,5,02-12-06-18-00,0,1
A9,A,9,3,31-26-35,0,0
A10,A,10,5,02-12-41-19-35,0,0
A11,A,11,4,01-41-40-07,0,0
A12,A,12,5,02-12-32-23-38,1,0
A13,A,13,2,39-11,0,0
A14,A,14,6,02-27-25-10-23-18,0,0
A15,A,15,2,28-01,1,0
A16,A,16,4,02-12-31-26,1,0
A17,A,17,7,02-12-27-27-35-37-21,0,0
A18,A,18,2,33-23,0,0
A19,A,19,4,02-12-31-26,1,0
A20,A,20,6,02-27-25-10-23-18,0,0
A21,A,21,2,28-01,1,0
A22,A,22,4,02-12-31-26,1,0
A23,A,23,7,02-12-27-14-32-18-27,0,0
A24,A,24,4,06-18-17-19,1,0
A25,A,25,3,31-26-12,0,0
A26,A,26,4,02-12-13-01,0,0
A27,A,27,3,23-19-35,1,0
A28,A,28,3,10-03-38,0,0
A29,A,29,7,02-12-27-27-35-37-21,0,0
A30,A,30,2,13-01,0,0
A31,A,31,3,10-03-38,0,0
B1,B,1,5,02-12-22-40-07,0,0
B2,B,2,4,27-45-07-35,0,0
B3,B,3,4,02-37-23-05,1,0
B4,B,4,3,22-25-27,0,0
B5,B,5,4,33-24-20-12,0,0
B6,B,6,4,16-23-18-43,1,0
B7,B,7,4,13-01-39-33,0,0
B8,B,8,5,15-07-13-01-18,0,0
B9,B,9,4,22-37-42-25,0,0
B10,B,10,4,07-24-40-35,0,0
B11,B,11,4,02-26-36-40,0,0
B12,B,12,4,27-25-38-01,0,0
B13,B,13,5,29-24-24-20-35,0,0
B14,B,14,3,16-14-18,0,0
B15,B,15,3,29-33-01,0,0
B16,B,16,5,06-35-32-39-33,0,0
B17,B,17,4,02-09-27-01,0,0
B18,B,18,4,29-36-07-08,1,0
B19,B,19,3,29-08-13,0,0
B20,B,20,3,29-45-07,1,0
B21,B,21,5,22-29-36-07-08,1,0
B22,B,22,4,27-34-23-25,0,0
B23,B,23,3,07-18-35,0,0
B24,B,24,3,07-45-07,1,0
B25,B,25,4,07-23-18-24,0,0
B26,B,26,5,22-29-36-07-08,1,0
B27,B,27,5,09-30-39-18-07,0,0
B28,B,28,5,02-06-35-23-07,0,0
B29,B,29,4,29-34-23-25,0,0
B30,B,30,2,45-07,1,0
