id,annal,annal_year,type,claimed_date_julian,claimed_weekday,claimed_luna,claimed_hour,quote,verification
AU664,Annals of Ulster,664,solar,0664-05-01,,,9,Tenebrae in kalendis Maii in nona hora (darkness on the kalends of May at the ninth hour),search-level; wording not yet checked against Mac Airt & Mac Niocaill
BEDE664,Bede HE III.27,664,solar,0664-05-03,,,10,eclipsis solis facta est ... hora circiter decima diei (an eclipse of the sun ... about the tenth hour of the day); Bede dates it 3 May,search-level; wording not yet checked against a critical edition
AU594,Annals of Ulster,594,solar,0594-07-23,,,,"Defectio solis .i. mane tenebrosum (an eclipse of the sun, i.e. a dark morning)",search-level; date identification with 23 July 594 is the standard one
AU865,Annals of Ulster,865,solar,0865-01-01,,,,An eclipse of the sun on the kalends of January,search-level; translation only
AU878,Annals of Ulster,878,solar,0878-10-29,4,28,7,"An eclipse of the sun on the fourth of the kalends of November, the twenty-eighth of the moon, on the fourth feria, about the seventh hour of the day",search-level; the four-part specification is the reason this record is the best test on the board
AU885,Annals of Ulster,885,solar,0885-06-16,,,,"An eclipse of the sun, and stars were seen in the sky",search-level; translation only
AU878L,Annals of Ulster,878,lunar,0878-10-15,,,,"An eclipse of the moon, fifteen solar days before the eclipse of the sun (reported within the AU 878 solar notice as 'fifteen solar days having intervened')",search-level; the interval clause is quoted in the same secondary source as the solar notice and is not independently confirmed
AU764,Annals of Ulster,764,solar,0764-06-04,,,3,Sol tenebrosus in hora tertia diei (a dark sun at the third hour of the day),"search-level; single secondary source, wording and date identification both unchecked - and it is the outlier in the hour-convention test, so verify it before building on it"
AU753,Annals of Ulster,753,solar,0753-01-09,,,,"an eclipse of the sun (annular, 9 January 753)","search-level; no wording recovered, date identification only. NOTE: Rome 0.911 vs Ireland 0.865 - one of the few where the Mediterranean saw it deeper, so it is NOT diagnostic"
AU688,Annals of Ulster,688,solar,0688-07-03,,,,a partial eclipse of the sun,"search-level; no wording recovered. Irish 0.744 vs Rome 0.298, so diagnostic of local observation if the identification holds"
