site,delta_t_s,delta_t_offset_s,sunrise_lat,sunset_lat,hour_length_min,peak_mag,first_lat,first_hour,max_lat,max_hour,last_lat,last_hour
Armagh,3474.0,-600,4.34,19.68,76.7,1.0415,16.039,10,17.09,10,18.097,11
Armagh,3494.0,-580,4.34,19.68,76.7,1.0,16.033,10,17.085,10,18.091,11
Armagh,3514.0,-560,4.34,19.68,76.7,1.0,16.026,10,17.079,10,18.085,11
Armagh,3534.0,-540,4.34,19.68,76.7,1.0,16.019,10,17.073,10,18.079,11
Armagh,3554.0,-520,4.34,19.68,76.7,1.0416,16.013,10,17.067,10,18.074,11
Armagh,3574.0,-500,4.34,19.68,76.7,1.0416,16.006,10,17.062,10,18.068,11
Armagh,3594.0,-480,4.34,19.68,76.7,1.0,16.0,10,17.056,10,18.062,11
Armagh,3614.0,-460,4.34,19.68,76.7,1.0,15.993,10,17.051,10,18.057,11
Armagh,3634.0,-440,4.34,19.68,76.7,1.0416,15.987,10,17.045,10,18.051,11
Armagh,3654.0,-420,4.34,19.68,76.7,1.0416,15.98,10,17.04,10,18.045,11
Armagh,3674.0,-400,4.34,19.68,76.7,1.0417,15.974,10,17.034,10,18.04,11
Armagh,3694.0,-380,4.34,19.68,76.7,1.0,15.967,10,17.029,10,18.034,11
Armagh,3714.0,-360,4.34,19.68,76.7,1.0,15.961,10,17.023,10,18.028,11
Armagh,3734.0,-340,4.34,19.68,76.7,1.0,15.954,10,17.018,10,18.022,11
Armagh,3754.0,-320,4.34,19.68,76.7,1.0,15.948,10,17.013,10,18.017,11
Armagh,3774.0,-300,4.34,19.68,76.7,1.0417,15.941,10,17.009,10,18.011,11
Armagh,3794.0,-280,4.34,19.68,76.7,0.9998,15.934,10,17.005,10,18.005,11
Armagh,3814.0,-260,4.34,19.68,76.7,0.9996,15.928,10,16.999,10,17.999,11
Armagh,3834.0,-240,4.34,19.68,76.7,0.9993,15.921,10,16.993,10,17.994,11
Armagh,3854.0,-220,4.34,19.68,76.7,0.9991,15.915,10,16.986,10,17.988,11
Armagh,3874.0,-200,4.34,19.68,76.7,0.9988,15.908,10,16.98,10,17.982,11
Armagh,3894.0,-180,4.34,19.68,76.7,0.9986,15.902,10,16.974,10,17.977,11
Armagh,3914.0,-160,4.34,19.68,76.7,0.9983,15.895,10,16.968,10,17.971,11
Armagh,3934.0,-140,4.34,19.68,76.7,0.9981,15.888,10,16.962,10,17.965,11
Armagh,3954.0,-120,4.34,19.68,76.7,0.9978,15.882,10,16.956,10,17.959,11
Armagh,3974.0,-100,4.34,19.68,76.7,0.9976,15.875,10,16.95,10,17.954,11
Armagh,3994.0,-80,4.34,19.68,76.7,0.9974,15.869,10,16.943,10,17.948,11
Armagh,4014.0,-60,4.34,19.68,76.7,0.9971,15.862,10,16.937,10,17.942,11
Armagh,4034.0,-40,4.34,19.68,76.7,0.9969,15.855,10,16.931,10,17.936,11
Armagh,4054.0,-20,4.34,19.68,76.7,0.9966,15.849,10,16.925,10,17.931,11
Armagh,4074.0,0,4.34,19.68,76.7,0.9964,15.842,9,16.919,10,17.925,11
Armagh,4094.0,20,4.34,19.68,76.7,0.9962,15.836,9,16.913,10,17.919,11
Armagh,4114.0,40,4.34,19.68,76.7,0.9959,15.829,9,16.906,10,17.913,11
Armagh,4134.0,60,4.34,19.68,76.7,0.9957,15.822,9,16.9,10,17.907,11
Armagh,4154.0,80,4.34,19.68,76.7,0.9955,15.816,9,16.894,10,17.902,11
Armagh,4174.0,100,4.34,19.68,76.7,0.9952,15.809,9,16.888,10,17.896,11
Armagh,4194.0,120,4.34,19.68,76.7,0.995,15.803,9,16.882,10,17.89,11
Armagh,4214.0,140,4.34,19.68,76.7,0.9948,15.796,9,16.876,10,17.884,11
Armagh,4234.0,160,4.34,19.68,76.7,0.9946,15.789,9,16.869,10,17.879,11
Armagh,4254.0,180,4.34,19.68,76.7,0.9943,15.783,9,16.863,10,17.873,11
Armagh,4274.0,200,4.34,19.68,76.7,0.9941,15.776,9,16.857,10,17.867,11
Armagh,4294.0,220,4.34,19.68,76.7,0.9939,15.77,9,16.851,10,17.861,11
Armagh,4314.0,240,4.34,19.68,76.7,0.9937,15.763,9,16.845,10,17.855,11
Armagh,4334.0,260,4.34,19.68,76.7,0.9935,15.756,9,16.838,10,17.85,11
Armagh,4354.0,280,4.34,19.68,76.7,0.9932,15.75,9,16.832,10,17.844,11
Armagh,4374.0,300,4.34,19.68,76.7,0.993,15.743,9,16.826,10,17.838,11
Armagh,4394.0,320,4.34,19.68,76.7,0.9928,15.736,9,16.82,10,17.832,11
Armagh,4414.0,340,4.34,19.681,76.7,0.9926,15.73,9,16.814,10,17.826,11
Armagh,4434.0,360,4.34,19.681,76.7,0.9924,15.723,9,16.807,10,17.821,11
Armagh,4454.0,380,4.34,19.681,76.7,0.9922,15.716,9,16.801,10,17.815,11
Armagh,4474.0,400,4.34,19.681,76.7,0.9919,15.71,9,16.795,10,17.809,11
Armagh,4494.0,420,4.34,19.681,76.7,0.9917,15.703,9,16.789,10,17.803,11
Armagh,4514.0,440,4.34,19.681,76.7,0.9915,15.696,9,16.783,10,17.797,11
Armagh,4534.0,460,4.34,19.681,76.7,0.9913,15.69,9,16.776,10,17.792,11
Armagh,4554.0,480,4.34,19.681,76.7,0.9911,15.683,9,16.77,10,17.786,11
Armagh,4574.0,500,4.34,19.681,76.7,0.9909,15.676,9,16.764,10,17.78,11
Armagh,4594.0,520,4.34,19.681,76.7,0.9907,15.67,9,16.758,10,17.774,11
Armagh,4614.0,540,4.34,19.681,76.7,0.9905,15.663,9,16.751,10,17.768,11
Armagh,4634.0,560,4.34,19.681,76.7,0.9903,15.656,9,16.745,10,17.762,11
Armagh,4654.0,580,4.34,19.681,76.7,0.9901,15.65,9,16.739,10,17.757,11
Armagh,4674.0,600,4.34,19.681,76.7,0.9899,15.643,9,16.733,10,17.751,11
Iona,3474.0,-600,4.206,19.817,78.1,0.981,16.029,10,17.085,10,18.076,11
Iona,3494.0,-580,4.206,19.817,78.1,0.9813,16.023,10,17.079,10,18.071,11
Iona,3514.0,-560,4.206,19.817,78.1,0.9815,16.016,10,17.073,10,18.065,11
Iona,3534.0,-540,4.206,19.817,78.1,0.9818,16.01,10,17.067,10,18.059,11
Iona,3554.0,-520,4.206,19.817,78.1,0.9821,16.003,10,17.061,10,18.054,11
Iona,3574.0,-500,4.206,19.817,78.1,0.9823,15.997,10,17.055,10,18.048,11
Iona,3594.0,-480,4.206,19.817,78.1,0.9826,15.99,10,17.049,10,18.042,11
Iona,3614.0,-460,4.206,19.817,78.1,0.9829,15.984,10,17.043,10,18.037,11
Iona,3634.0,-440,4.206,19.817,78.1,0.9831,15.977,10,17.037,10,18.031,11
Iona,3654.0,-420,4.206,19.817,78.1,0.9834,15.971,10,17.031,10,18.025,11
Iona,3674.0,-400,4.206,19.817,78.1,0.9836,15.964,10,17.025,10,18.02,11
Iona,3694.0,-380,4.206,19.817,78.1,0.9839,15.958,10,17.018,10,18.014,11
Iona,3714.0,-360,4.206,19.817,78.1,0.9841,15.951,10,17.012,10,18.008,11
Iona,3734.0,-340,4.206,19.817,78.1,0.9844,15.945,10,17.006,10,18.002,11
Iona,3754.0,-320,4.206,19.817,78.1,0.9846,15.938,10,17.0,10,17.997,11
Iona,3774.0,-300,4.206,19.817,78.1,0.9849,15.932,10,16.994,10,17.991,11
Iona,3794.0,-280,4.206,19.817,78.1,0.9851,15.925,10,16.988,10,17.985,11
Iona,3814.0,-260,4.206,19.817,78.1,0.9854,15.919,10,16.982,10,17.98,11
Iona,3834.0,-240,4.206,19.817,78.1,0.9856,15.912,9,16.976,10,17.974,11
Iona,3854.0,-220,4.206,19.817,78.1,0.9859,15.906,9,16.97,10,17.968,11
Iona,3874.0,-200,4.206,19.817,78.1,0.9861,15.899,9,16.964,10,17.963,11
Iona,3894.0,-180,4.206,19.817,78.1,0.9864,15.893,9,16.958,10,17.957,11
Iona,3914.0,-160,4.206,19.817,78.1,0.9866,15.886,9,16.951,10,17.951,11
Iona,3934.0,-140,4.206,19.817,78.1,0.9869,15.88,9,16.945,10,17.945,11
Iona,3954.0,-120,4.206,19.817,78.1,0.9871,15.873,9,16.939,10,17.94,11
Iona,3974.0,-100,4.206,19.817,78.1,0.9873,15.867,9,16.933,10,17.934,11
Iona,3994.0,-80,4.206,19.817,78.1,0.9876,15.86,9,16.927,10,17.928,11
Iona,4014.0,-60,4.206,19.817,78.1,0.9878,15.854,9,16.921,10,17.922,11
Iona,4034.0,-40,4.206,19.817,78.1,0.9881,15.847,9,16.915,10,17.917,11
Iona,4054.0,-20,4.206,19.817,78.1,0.9883,15.841,9,16.909,10,17.911,11
