  100 eclipses, at 0443-03-17, 84s
  200 eclipses, at 0485-11-23, 165s
  300 eclipses, at 0527-03-18, 247s
  400 eclipses, at 0567-07-22, 327s
  500 eclipses, at 0607-05-31, 407s
  600 eclipses, at 0647-04-10, 487s
  700 eclipses, at 0687-01-19, 569s
  800 eclipses, at 0728-05-13, 650s
  900 eclipses, at 0772-01-09, 732s
  1000 eclipses, at 0816-03-03, 814s
  1100 eclipses, at 0860-10-18, 896s
  1200 eclipses, at 0905-10-30, 978s
  1300 eclipses, at 0950-06-18, 1060s
  1400 eclipses, at 0994-02-13, 1140s
  1500 eclipses, at 1037-04-18, 1221s
  1600 eclipses, at 1078-07-12, 1301s
