year,delta_t_s,sigma_s
300,7476.1,60.0
301,7466.7,60.0
302,7457.3,60.0
303,7447.9,60.0
304,7438.5,60.0
305,7429.1,60.0
306,7419.7,60.0
307,7410.3,60.0
308,7400.9,60.0
309,7391.5,60.0
310,7382.1,60.0
311,7372.7,60.0
312,7363.3,60.0
313,7353.9,60.0
314,7344.5,60.0
315,7335.1,60.0
316,7325.7,60.0
317,7316.3,60.0
318,7306.9,60.0
319,7297.5,60.0
320,7288.1,60.0
321,7278.7,60.0
322,7269.3,60.0
323,7259.9,60.0
324,7250.5,60.0
325,7241.1,60.0
326,7231.7,60.0
327,7222.3,60.0
328,7212.9,60.0
329,7203.5,60.0
330,7194.1,60.0
331,7184.7,60.0
332,7175.3,60.0
333,7165.9,60.0
334,7156.5,60.0
335,7147.1,60.0
336,7137.7,60.0
337,7128.3,60.0
338,7118.9,60.0
339,7109.6,60.0
340,7100.2,60.0
341,7090.8,60.0
342,7081.4,60.0
343,7072.0,60.0
344,7062.6,60.0
345,7053.2,60.0
346,7043.8,60.0
347,7034.4,60.0
348,7025.0,60.0
349,7015.6,60.0
350,7006.2,60.0
351,6996.8,60.0
352,6987.4,60.0
353,6978.0,60.0
354,6968.6,60.0
355,6959.2,60.0
356,6949.8,60.0
357,6940.4,60.0
358,6931.0,60.0
359,6921.6,60.0
360,6912.1,60.0
361,6902.7,60.0
362,6893.3,60.0
363,6883.9,60.0
364,6874.5,60.0
365,6865.1,60.0
366,6855.7,60.0
367,6846.3,60.0
368,6836.9,60.0
369,6827.5,60.0
370,6818.1,60.0
371,6808.6,60.0
372,6799.2,60.0
373,6789.8,60.0
374,6780.4,60.0
375,6771.0,60.0
376,6761.6,60.0
377,6752.1,60.0
378,6742.7,60.0
379,6733.3,60.0
380,6723.9,60.0
381,6714.4,60.0
382,6705.0,60.0
383,6695.6,60.0
384,6686.2,60.0
385,6676.7,60.0
386,6667.3,60.0
387,6657.9,60.0
388,6648.4,60.0
389,6639.0,60.0
390,6629.6,60.0
391,6620.1,60.0
392,6610.7,60.0
393,6601.2,60.0
394,6591.8,60.0
395,6582.4,60.0
396,6572.9,60.0
397,6563.5,60.0
398,6554.0,60.0
399,6544.6,60.0
400,6535.1,50.0
401,6525.7,50.0
402,6516.2,50.0
403,6506.8,50.0
404,6497.3,50.0
405,6487.8,50.0
406,6478.4,50.0
407,6468.9,50.0
408,6459.4,50.0
409,6450.0,50.0
410,6440.5,50.0
411,6431.0,50.0
412,6421.6,50.0
413,6412.1,50.0
414,6402.6,50.0
415,6393.2,50.0
416,6383.7,50.0
417,6374.2,50.0
418,6364.7,50.0
419,6355.3,50.0
420,6345.8,50.0
421,6336.3,50.0
422,6326.8,50.0
423,6317.3,50.0
424,6307.8,50.0
425,6298.4,50.0
426,6288.9,50.0
427,6279.4,50.0
428,6269.9,50.0
429,6260.4,50.0
430,6250.9,50.0
431,6241.4,50.0
432,6232.0,50.0
433,6222.5,50.0
434,6213.0,50.0
435,6203.5,50.0
436,6194.0,50.0
437,6184.5,50.0
438,6175.0,50.0
439,6165.5,50.0
440,6156.0,50.0
441,6146.5,50.0
442,6137.0,50.0
443,6127.5,50.0
444,6118.0,50.0
445,6108.5,50.0
446,6099.0,50.0
447,6089.5,50.0
448,6080.0,50.0
449,6070.5,50.0
450,6061.0,50.0
451,6051.5,50.0
452,6042.1,50.0
453,6032.6,50.0
454,6023.1,50.0
455,6013.6,50.0
456,6004.1,50.0
457,5994.6,50.0
458,5985.1,50.0
459,5975.6,50.0
460,5966.1,50.0
461,5956.6,50.0
462,5947.1,50.0
463,5937.6,50.0
464,5928.1,50.0
465,5918.6,50.0
466,5909.1,50.0
467,5899.6,50.0
468,5890.1,50.0
469,5880.6,50.0
470,5871.1,50.0
471,5861.6,50.0
472,5852.1,50.0
473,5842.6,50.0
474,5833.1,50.0
475,5823.6,50.0
476,5814.1,50.0
477,5804.7,50.0
478,5795.2,50.0
479,5785.7,50.0
480,5776.2,50.0
481,5766.7,50.0
482,5757.2,50.0
483,5747.7,50.0
484,5738.2,50.0
485,5728.7,50.0
486,5719.3,50.0
487,5709.8,50.0
488,5700.3,50.0
489,5690.8,50.0
490,5681.3,50.0
491,5671.9,50.0
492,5662.4,50.0
493,5652.9,50.0
494,5643.4,50.0
495,5634.0,50.0
496,5624.5,50.0
497,5615.0,50.0
498,5605.5,50.0
499,5596.1,50.0
500,5586.6,40.0
501,5577.1,40.0
502,5567.7,40.0
503,5558.2,40.0
504,5548.7,40.0
505,5539.3,40.0
506,5529.8,40.0
507,5520.4,40.0
508,5510.9,40.0
509,5501.5,40.0
510,5492.0,40.0
511,5482.5,40.0
512,5473.1,40.0
513,5463.6,40.0
514,5454.2,40.0
515,5444.8,40.0
516,5435.3,40.0
517,5425.9,40.0
518,5416.4,40.0
519,5407.0,40.0
520,5397.6,40.0
521,5388.1,40.0
522,5378.7,40.0
523,5369.3,40.0
524,5359.8,40.0
525,5350.4,40.0
526,5341.0,40.0
527,5331.6,40.0
528,5322.2,40.0
529,5312.7,40.0
530,5303.3,40.0
531,5293.9,40.0
532,5284.5,40.0
533,5275.1,40.0
534,5265.7,40.0
535,5256.3,40.0
536,5246.9,40.0
537,5237.5,40.0
538,5228.1,40.0
539,5218.7,40.0
540,5209.3,40.0
541,5199.9,40.0
542,5190.5,40.0
543,5181.2,40.0
544,5171.8,40.0
545,5162.4,40.0
546,5153.0,40.0
547,5143.6,40.0
548,5134.3,40.0
549,5124.9,40.0
550,5115.5,40.0
551,5106.2,40.0
552,5096.8,40.0
553,5087.5,40.0
554,5078.1,40.0
555,5068.8,40.0
556,5059.4,40.0
557,5050.1,40.0
558,5040.7,40.0
559,5031.4,40.0
560,5022.1,40.0
561,5012.7,40.0
562,5003.4,40.0
563,4994.1,40.0
564,4984.8,40.0
565,4975.5,40.0
566,4966.1,40.0
567,4956.8,40.0
568,4947.5,40.0
569,4938.2,40.0
570,4928.9,40.0
571,4919.6,40.0
572,4910.3,40.0
573,4901.0,40.0
574,4891.8,40.0
575,4882.5,40.0
576,4873.2,40.0
577,4863.9,40.0
578,4854.6,40.0
579,4845.4,40.0
580,4836.1,40.0
581,4826.9,40.0
582,4817.6,40.0
583,4808.3,40.0
584,4799.1,40.0
585,4789.8,40.0
586,4780.6,40.0
587,4771.4,40.0
588,4762.1,40.0
589,4752.9,40.0
590,4743.7,40.0
591,4734.5,40.0
592,4725.2,40.0
593,4716.0,40.0
594,4706.8,40.0
595,4697.6,40.0
596,4688.4,40.0
597,4679.2,40.0
598,4670.0,40.0
599,4660.8,40.0
600,4651.7,40.0
601,4642.5,40.0
602,4633.3,40.0
603,4624.1,40.0
604,4615.0,40.0
605,4605.8,40.0
606,4596.6,40.0
607,4587.5,40.0
608,4578.3,40.0
609,4569.2,40.0
610,4560.1,40.0
611,4550.9,40.0
612,4541.8,40.0
613,4532.7,40.0
614,4523.6,40.0
615,4514.4,40.0
616,4505.3,40.0
617,4496.2,40.0
618,4487.1,40.0
619,4478.0,40.0
620,4468.9,40.0
621,4459.9,40.0
622,4450.8,40.0
623,4441.7,40.0
624,4432.6,40.0
625,4423.6,40.0
626,4414.5,40.0
627,4405.5,40.0
628,4396.4,40.0
629,4387.4,40.0
630,4378.3,40.0
631,4369.3,40.0
632,4360.3,40.0
633,4351.2,40.0
634,4342.2,40.0
635,4333.2,40.0
636,4324.2,40.0
637,4315.2,40.0
638,4306.2,40.0
639,4297.2,40.0
640,4288.2,40.0
641,4279.2,40.0
642,4270.3,40.0
643,4261.3,40.0
644,4252.3,40.0
645,4243.4,40.0
646,4234.4,40.0
647,4225.5,40.0
648,4216.6,40.0
649,4207.6,40.0
650,4198.7,40.0
651,4189.8,40.0
652,4180.9,40.0
653,4171.9,40.0
654,4163.0,40.0
655,4154.1,40.0
656,4145.2,40.0
657,4136.4,40.0
658,4127.5,40.0
659,4118.6,40.0
660,4109.7,40.0
661,4100.9,40.0
662,4092.0,40.0
663,4083.2,40.0
664,4074.3,40.0
665,4065.5,40.0
666,4056.7,40.0
667,4047.8,40.0
668,4039.0,40.0
669,4030.2,40.0
670,4021.4,40.0
671,4012.6,40.0
672,4003.8,40.0
673,3995.0,40.0
674,3986.3,40.0
675,3977.5,40.0
676,3968.7,40.0
677,3960.0,40.0
678,3951.2,40.0
679,3942.5,40.0
680,3933.7,40.0
681,3925.0,40.0
682,3916.3,40.0
683,3907.5,40.0
684,3898.8,40.0
685,3890.1,40.0
686,3881.4,40.0
687,3872.7,40.0
688,3864.1,40.0
689,3855.4,40.0
690,3846.7,40.0
691,3838.1,40.0
692,3829.4,40.0
693,3820.8,40.0
694,3812.1,40.0
695,3803.5,40.0
696,3794.9,40.0
697,3786.2,40.0
698,3777.6,40.0
699,3769.0,40.0
700,3760.4,30.0
701,3751.8,30.0
702,3743.2,30.0
703,3734.7,30.0
704,3726.1,30.0
705,3717.5,30.0
706,3709.0,30.0
707,3700.4,30.0
708,3691.9,30.0
709,3683.4,30.0
710,3674.9,30.0
711,3666.3,30.0
712,3657.8,30.0
713,3649.3,30.0
714,3640.9,30.0
715,3632.4,30.0
716,3623.9,30.0
717,3615.4,30.0
718,3607.0,30.0
719,3598.5,30.0
720,3590.1,30.0
721,3581.6,30.0
722,3573.2,30.0
723,3564.8,30.0
724,3556.4,30.0
725,3548.0,30.0
726,3539.6,30.0
727,3531.2,30.0
728,3522.8,30.0
729,3514.4,30.0
730,3506.1,30.0
731,3497.7,30.0
732,3489.4,30.0
733,3481.0,30.0
734,3472.7,30.0
735,3464.4,30.0
736,3456.1,30.0
737,3447.8,30.0
738,3439.5,30.0
739,3431.2,30.0
740,3422.9,30.0
741,3414.6,30.0
742,3406.4,30.0
743,3398.1,30.0
744,3389.9,30.0
745,3381.7,30.0
746,3373.4,30.0
747,3365.2,30.0
748,3357.0,30.0
749,3348.8,30.0
750,3340.6,30.0
751,3332.4,30.0
752,3324.3,30.0
753,3316.1,30.0
754,3307.9,30.0
755,3299.8,30.0
756,3291.7,30.0
757,3283.5,30.0
758,3275.4,30.0
759,3267.3,30.0
760,3259.2,30.0
761,3251.1,30.0
762,3243.0,30.0
763,3235.0,30.0
764,3226.9,30.0
765,3218.8,30.0
766,3210.8,30.0
767,3202.8,30.0
768,3194.7,30.0
769,3186.7,30.0
770,3178.7,30.0
771,3170.7,30.0
772,3162.7,30.0
773,3154.7,30.0
774,3146.8,30.0
775,3138.8,30.0
776,3130.9,30.0
777,3122.9,30.0
778,3115.0,30.0
779,3107.1,30.0
780,3099.2,30.0
781,3091.3,30.0
782,3083.4,30.0
783,3075.5,30.0
784,3067.6,30.0
785,3059.8,30.0
786,3051.9,30.0
787,3044.1,30.0
788,3036.2,30.0
789,3028.4,30.0
790,3020.6,30.0
791,3012.8,30.0
792,3005.0,30.0
793,2997.2,30.0
794,2989.4,30.0
795,2981.7,30.0
796,2973.9,30.0
797,2966.2,30.0
798,2958.5,30.0
799,2950.7,30.0
800,2943.0,25.0
801,2935.3,25.0
802,2927.6,25.0
803,2920.0,25.0
804,2912.3,25.0
805,2904.6,25.0
806,2897.0,25.0
807,2889.4,25.0
808,2881.7,25.0
809,2874.1,25.0
810,2866.5,25.0
811,2858.9,25.0
812,2851.3,25.0
813,2843.8,25.0
814,2836.2,25.0
815,2828.7,25.0
816,2821.1,25.0
817,2813.6,25.0
818,2806.1,25.0
819,2798.6,25.0
820,2791.1,25.0
821,2783.6,25.0
822,2776.1,25.0
823,2768.7,25.0
824,2761.2,25.0
825,2753.8,25.0
826,2746.3,25.0
827,2738.9,25.0
828,2731.5,25.0
829,2724.1,25.0
830,2716.7,25.0
831,2709.4,25.0
832,2702.0,25.0
833,2694.6,25.0
834,2687.3,25.0
835,2680.0,25.0
836,2672.7,25.0
837,2665.4,25.0
838,2658.1,25.0
839,2650.8,25.0
840,2643.5,25.0
841,2636.3,25.0
842,2629.0,25.0
843,2621.8,25.0
844,2614.6,25.0
845,2607.3,25.0
846,2600.1,25.0
847,2593.0,25.0
848,2585.8,25.0
849,2578.6,25.0
850,2571.5,25.0
851,2564.3,25.0
852,2557.2,25.0
853,2550.1,25.0
854,2543.0,25.0
855,2535.9,25.0
856,2528.8,25.0
857,2521.7,25.0
858,2514.7,25.0
859,2507.6,25.0
860,2500.6,25.0
861,2493.6,25.0
862,2486.6,25.0
863,2479.6,25.0
864,2472.6,25.0
865,2465.6,25.0
866,2458.7,25.0
867,2451.7,25.0
868,2444.8,25.0
869,2437.9,25.0
870,2431.0,25.0
871,2424.1,25.0
872,2417.2,25.0
873,2410.3,25.0
874,2403.4,25.0
875,2396.6,25.0
876,2389.8,25.0
877,2382.9,25.0
878,2376.1,25.0
879,2369.3,25.0
880,2362.6,25.0
881,2355.8,25.0
882,2349.0,25.0
883,2342.3,25.0
884,2335.6,25.0
885,2328.8,25.0
886,2322.1,25.0
887,2315.4,25.0
888,2308.8,25.0
889,2302.1,25.0
890,2295.4,25.0
891,2288.8,25.0
892,2282.2,25.0
893,2275.6,25.0
894,2269.0,25.0
895,2262.4,25.0
896,2255.8,25.0
897,2249.2,25.0
898,2242.7,25.0
899,2236.2,25.0
900,2229.6,20.0
901,2223.1,20.0
902,2216.6,20.0
903,2210.2,20.0
904,2203.7,20.0
905,2197.2,20.0
906,2190.8,20.0
907,2184.4,20.0
908,2178.0,20.0
909,2171.6,20.0
910,2165.2,20.0
911,2158.8,20.0
912,2152.5,20.0
913,2146.1,20.0
914,2139.8,20.0
915,2133.5,20.0
916,2127.2,20.0
917,2120.9,20.0
918,2114.6,20.0
919,2108.3,20.0
920,2102.1,20.0
921,2095.9,20.0
922,2089.7,20.0
923,2083.4,20.0
924,2077.3,20.0
925,2071.1,20.0
926,2064.9,20.0
927,2058.8,20.0
928,2052.6,20.0
929,2046.5,20.0
930,2040.4,20.0
931,2034.3,20.0
932,2028.2,20.0
933,2022.2,20.0
934,2016.1,20.0
935,2010.1,20.0
936,2004.1,20.0
937,1998.1,20.0
938,1992.1,20.0
939,1986.1,20.0
940,1980.2,20.0
941,1974.2,20.0
942,1968.3,20.0
943,1962.4,20.0
944,1956.5,20.0
945,1950.6,20.0
946,1944.7,20.0
947,1938.9,20.0
948,1933.0,20.0
949,1927.2,20.0
950,1921.4,20.0
951,1915.6,20.0
952,1909.8,20.0
953,1904.0,20.0
954,1898.3,20.0
955,1892.5,20.0
956,1886.8,20.0
957,1881.1,20.0
958,1875.4,20.0
959,1869.7,20.0
960,1864.1,20.0
961,1858.4,20.0
962,1852.8,20.0
963,1847.2,20.0
964,1841.6,20.0
965,1836.0,20.0
966,1830.4,20.0
967,1824.9,20.0
968,1819.3,20.0
969,1813.8,20.0
970,1808.3,20.0
971,1802.8,20.0
972,1797.3,20.0
973,1791.9,20.0
974,1786.4,20.0
975,1781.0,20.0
976,1775.6,20.0
977,1770.2,20.0
978,1764.8,20.0
979,1759.4,20.0
980,1754.1,20.0
981,1748.7,20.0
982,1743.4,20.0
983,1738.1,20.0
984,1732.8,20.0
985,1727.5,20.0
986,1722.3,20.0
987,1717.0,20.0
988,1711.8,20.0
989,1706.6,20.0
990,1701.4,20.0
991,1696.2,20.0
992,1691.1,20.0
993,1685.9,20.0
994,1680.8,20.0
995,1675.7,20.0
996,1670.6,20.0
997,1665.5,20.0
998,1660.5,20.0
999,1655.4,20.0
1000,1650.4,15.0
1001,1645.4,15.0
1002,1640.4,15.0
1003,1635.4,15.0
1004,1630.4,15.0
1005,1625.5,15.0
1006,1620.6,15.0
1007,1615.6,15.0
1008,1610.7,15.0
1009,1605.9,15.0
1010,1601.0,15.0
1011,1596.1,15.0
1012,1591.3,15.0
1013,1586.5,15.0
1014,1581.7,15.0
1015,1576.9,15.0
1016,1572.1,15.0
1017,1567.4,15.0
1018,1562.6,15.0
1019,1557.9,15.0
1020,1553.2,15.0
1021,1548.5,15.0
1022,1543.8,15.0
1023,1539.2,15.0
1024,1534.5,15.0
1025,1529.9,15.0
1026,1525.3,15.0
1027,1520.7,15.0
1028,1516.1,15.0
1029,1511.5,15.0
1030,1506.9,15.0
1031,1502.4,15.0
1032,1497.9,15.0
1033,1493.4,15.0
1034,1488.9,15.0
1035,1484.4,15.0
1036,1479.9,15.0
1037,1475.5,15.0
1038,1471.0,15.0
1039,1466.6,15.0
1040,1462.2,15.0
1041,1457.8,15.0
1042,1453.4,15.0
1043,1449.1,15.0
1044,1444.7,15.0
1045,1440.4,15.0
1046,1436.1,15.0
1047,1431.8,15.0
1048,1427.5,15.0
1049,1423.2,15.0
1050,1418.9,15.0
1051,1414.7,15.0
1052,1410.4,15.0
1053,1406.2,15.0
1054,1402.0,15.0
1055,1397.8,15.0
1056,1393.6,15.0
1057,1389.5,15.0
1058,1385.3,15.0
1059,1381.2,15.0
1060,1377.1,15.0
1061,1372.9,15.0
1062,1368.9,15.0
1063,1364.8,15.0
1064,1360.7,15.0
1065,1356.6,15.0
1066,1352.6,15.0
1067,1348.6,15.0
1068,1344.6,15.0
1069,1340.6,15.0
1070,1336.6,15.0
1071,1332.6,15.0
1072,1328.6,15.0
1073,1324.7,15.0
1074,1320.7,15.0
1075,1316.8,15.0
1076,1312.9,15.0
1077,1309.0,15.0
1078,1305.1,15.0
1079,1301.3,15.0
1080,1297.4,15.0
1081,1293.6,15.0
1082,1289.7,15.0
1083,1285.9,15.0
1084,1282.1,15.0
1085,1278.3,15.0
1086,1274.5,15.0
1087,1270.8,15.0
1088,1267.0,15.0
1089,1263.3,15.0
1090,1259.5,15.0
1091,1255.8,15.0
1092,1252.1,15.0
1093,1248.4,15.0
1094,1244.7,15.0
1095,1241.1,15.0
1096,1237.4,15.0
1097,1233.7,15.0
1098,1230.1,15.0
1099,1226.5,15.0
1100,1222.9,15.0
1101,1219.3,15.0
1102,1215.7,15.0
1103,1212.1,15.0
1104,1208.6,15.0
1105,1205.0,15.0
1106,1201.5,15.0
1107,1197.9,15.0
1108,1194.4,15.0
1109,1190.9,15.0
1110,1187.4,15.0
1111,1183.9,15.0
1112,1180.5,15.0
1113,1177.0,15.0
1114,1173.6,15.0
1115,1170.1,15.0
1116,1166.7,15.0
1117,1163.3,15.0
1118,1159.9,15.0
1119,1156.5,15.0
1120,1153.1,15.0
1121,1149.8,15.0
1122,1146.4,15.0
1123,1143.1,15.0
1124,1139.7,15.0
1125,1136.4,15.0
1126,1133.1,15.0
1127,1129.8,15.0
1128,1126.5,15.0
1129,1123.2,15.0
1130,1119.9,15.0
1131,1116.7,15.0
1132,1113.4,15.0
1133,1110.2,15.0
1134,1106.9,15.0
1135,1103.7,15.0
1136,1100.5,15.0
1137,1097.3,15.0
1138,1094.1,15.0
1139,1090.9,15.0
1140,1087.8,15.0
1141,1084.6,15.0
1142,1081.5,15.0
1143,1078.3,15.0
1144,1075.2,15.0
1145,1072.1,15.0
1146,1069.0,15.0
1147,1065.9,15.0
1148,1062.8,15.0
1149,1059.7,15.0
1150,1056.6,15.0
1151,1053.6,15.0
1152,1050.5,15.0
1153,1047.5,15.0
1154,1044.5,15.0
1155,1041.4,15.0
1156,1038.4,15.0
1157,1035.4,15.0
1158,1032.4,15.0
1159,1029.5,15.0
1160,1026.5,15.0
1161,1023.5,15.0
1162,1020.6,15.0
1163,1017.6,15.0
1164,1014.7,15.0
1165,1011.7,15.0
1166,1008.8,15.0
1167,1005.9,15.0
1168,1003.0,15.0
1169,1000.1,15.0
1170,997.2,15.0
1171,994.4,15.0
1172,991.5,15.0
1173,988.6,15.0
1174,985.8,15.0
1175,982.9,15.0
1176,980.1,15.0
1177,977.3,15.0
1178,974.5,15.0
1179,971.7,15.0
1180,968.9,15.0
1181,966.1,15.0
1182,963.3,15.0
1183,960.5,15.0
1184,957.8,15.0
1185,955.0,15.0
1186,952.3,15.0
1187,949.5,15.0
1188,946.8,15.0
1189,944.1,15.0
1190,941.3,15.0
1191,938.6,15.0
1192,935.9,15.0
1193,933.2,15.0
1194,930.6,15.0
1195,927.9,15.0
1196,925.2,15.0
1197,922.6,15.0
1198,919.9,15.0
1199,917.2,15.0
1200,914.6,15.0
1201,912.0,15.0
1202,909.4,15.0
1203,906.7,15.0
1204,904.1,15.0
1205,901.5,15.0
1206,898.9,15.0
1207,896.3,15.0
1208,893.8,15.0
1209,891.2,15.0
1210,888.6,15.0
1211,886.1,15.0
1212,883.5,15.0
1213,881.0,15.0
1214,878.4,15.0
1215,875.9,15.0
1216,873.4,15.0
1217,870.9,15.0
1218,868.3,15.0
1219,865.8,15.0
1220,863.3,15.0
1221,860.8,15.0
1222,858.4,15.0
1223,855.9,15.0
1224,853.4,15.0
1225,850.9,15.0
1226,848.5,15.0
1227,846.0,15.0
1228,843.6,15.0
1229,841.1,15.0
1230,838.7,15.0
1231,836.3,15.0
1232,833.9,15.0
1233,831.4,15.0
1234,829.0,15.0
1235,826.6,15.0
1236,824.2,15.0
1237,821.8,15.0
1238,819.5,15.0
1239,817.1,15.0
1240,814.7,15.0
1241,812.3,15.0
1242,810.0,15.0
1243,807.6,15.0
1244,805.3,15.0
1245,802.9,15.0
1246,800.6,15.0
1247,798.2,15.0
1248,795.9,15.0
1249,793.6,15.0
1250,791.3,15.0
1251,789.0,15.0
1252,786.6,15.0
1253,784.3,15.0
1254,782.0,15.0
1255,779.8,15.0
1256,777.5,15.0
1257,775.2,15.0
1258,772.9,15.0
1259,770.6,15.0
1260,768.4,15.0
1261,766.1,15.0
1262,763.8,15.0
1263,761.6,15.0
1264,759.3,15.0
1265,757.1,15.0
1266,754.9,15.0
1267,752.6,15.0
1268,750.4,15.0
1269,748.2,15.0
1270,745.9,15.0
1271,743.7,15.0
1272,741.5,15.0
1273,739.3,15.0
1274,737.1,15.0
1275,734.9,15.0
1276,732.7,15.0
1277,730.5,15.0
1278,728.3,15.0
1279,726.1,15.0
1280,724.0,15.0
1281,721.8,15.0
1282,719.6,15.0
1283,717.4,15.0
1284,715.3,15.0
1285,713.1,15.0
1286,711.0,15.0
1287,708.8,15.0
1288,706.7,15.0
1289,704.5,15.0
1290,702.4,15.0
1291,700.2,15.0
1292,698.1,15.0
1293,696.0,15.0
1294,693.8,15.0
1295,691.7,15.0
1296,689.6,15.0
1297,687.5,15.0
1298,685.4,15.0
1299,683.3,15.0
1300,681.1,15.0
1301,679.0,15.0
1302,676.9,15.0
1303,674.8,15.0
1304,672.7,15.0
1305,670.7,15.0
1306,668.6,15.0
1307,666.5,15.0
1308,664.4,15.0
1309,662.3,15.0
1310,660.2,15.0
