jd_tt,year,month,day,date_julian_cal,weekday,gamma,geo_sep_deg,delta_t_central_s,Armagh_mag_central,Armagh_alt_central,Armagh_ut_central,Armagh_mag_max_over_dt,Armagh_mag_min_over_dt,Iona_mag_central,Iona_alt_central,Iona_ut_central,Iona_mag_max_over_dt,Iona_mag_min_over_dt,Clonmacnoise_mag_central,Clonmacnoise_alt_central,Clonmacnoise_ut_central,Clonmacnoise_mag_max_over_dt,Clonmacnoise_mag_min_over_dt,Bangor_mag_central,Bangor_alt_central,Bangor_ut_central,Bangor_mag_max_over_dt,Bangor_mag_min_over_dt,Jarrow_mag_central,Jarrow_alt_central,Jarrow_ut_central,Jarrow_mag_max_over_dt,Jarrow_mag_min_over_dt,Rome_mag_central,Rome_alt_central,Rome_ut_central,Rome_mag_max_over_dt,Rome_mag_min_over_dt,Constantinople_mag_central,Constantinople_alt_central,Constantinople_ut_central,Constantinople_mag_max_over_dt,Constantinople_mag_min_over_dt,Alexandria_mag_central,Alexandria_alt_central,Alexandria_ut_central,Alexandria_mag_max_over_dt,Alexandria_mag_min_over_dt,irish_mag_central,irish_mag_max_over_dt,irish_mag_min_over_dt
1962139.65881,660,1,18,0660-01-18,6,0.0347,0.0353,4285.9,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1962316.71014,660,7,13,0660-07-13,1,0.0796,0.0714,4285.9,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0226,0.0,0.0,,,0.2084,0.0,0.0,0.0,0.0
1962494.31793,661,1,6,0661-01-06,3,-0.6404,0.6487,4278.5,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1962670.79657,661,7,2,0661-07-02,5,0.8336,0.7696,4278.5,0.9631,6.1,04:55,0.9635,0.9177,0.9545,7.5,04:57,0.9642,0.9008,0.9627,4.6,04:53,0.963,0.9206,0.9632,6.8,04:55,0.9637,0.9201,0.9638,8.8,04:53,0.9638,0.9035,0.6901,7.8,04:29,0.7678,0.605,0.5303,18.5,04:25,0.6204,0.4345,0.3255,13.7,04:11,0.4258,0.2178,0.9632,0.9642,0.9206
1962819.24758,661,11,27,0661-11-27,6,1.5001,1.4088,4278.5,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1962848.85732,661,12,27,0661-12-27,1,-1.3679,1.324,4278.5,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1962995.82252,662,5,23,0662-05-23,1,-1.0375,1.036,4271.1,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1963025.16552,662,6,21,0662-06-21,2,1.5377,1.4984,4271.1,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1963173.34921,662,11,16,0662-11-16,3,0.865,0.7793,4271.1,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1963350.51908,663,5,13,0663-05-13,6,-0.282,0.2877,4263.7,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1963527.31067,663,11,5,0663-11-05,0,0.1825,0.1649,4263.7,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1963705.20817,664,5,1,0664-05-01,3,0.4657,0.4639,4256.3,0.9935,23.0,17:12,1.0414,0.9752,0.9897,23.0,17:10,1.0438,0.9557,0.9598,23.9,17:12,0.9939,0.9446,1.0419,22.4,17:12,1.0422,0.9844,1.0411,19.7,17:14,1.0428,0.9696,0.7331,6.3,17:28,0.8108,0.6672,0.4801,-0.7,17:00,0.7777,0.0,0.0,,,0.3972,0.0,1.0419,1.0438,0.9844
1963881.44957,664,10,24,0664-10-24,4,-0.5192,0.4906,4256.3,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1964030.15763,665,3,22,0665-03-22,6,-1.5106,1.3904,4248.9,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1964059.69983,665,4,21,0665-04-21,1,1.2734,1.2032,4248.9,0.0,,,0.0,0.0,0.0,,,0.0275,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.1689,0.0,0.0,,,0.0953,0.0,0.299,-0.6,03:12,0.3635,0.0,0.0,,,0.2134,0.0,0.0,0.0275,0.0
1964206.48477,665,9,14,0665-09-14,0,1.4626,1.4848,4248.9,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1964235.89793,665,10,14,0665-10-14,2,-1.1813,1.178,4248.9,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1964384.20791,666,3,11,0666-03-11,3,-0.8185,0.7339,4241.5,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1964561.17305,666,9,4,0666-09-04,5,0.7744,0.7858,4241.5,0.9161,33.5,14:52,1.0525,0.8196,0.898,32.2,14:50,0.9987,0.8072,0.9376,34.8,14:52,1.0527,0.8379,0.9035,32.9,14:52,1.0523,0.8094,0.8596,30.6,14:54,0.9614,0.7734,0.8336,22.5,15:28,0.9276,0.7655,0.7443,9.2,15:34,0.7958,0.7164,0.8666,4.7,15:50,0.9115,0.7115,0.9376,1.0527,0.8379
1964738.22999,667,2,28,0667-02-28,0,-0.087,0.0797,4234.1,0.064,-0.7,18:06,0.0648,0.0,0.0106,-0.6,18:02,0.0106,0.0,0.0876,0.0,18:08,0.0935,0.0,0.056,-0.7,18:02,0.056,0.0,0.0037,-0.6,17:44,0.0478,0.0,0.0,,,0.255,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0876,0.0935,0.0
1964915.76892,667,8,25,0667-08-25,3,0.059,0.0574,4234.1,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.5281,0.0,0.6547,0.8,03:32,0.6991,0.3438,0.9239,-0.6,03:32,0.9918,0.2575,0.0,0.0,0.0
1965092.50166,668,2,18,0668-02-18,5,0.637,0.6149,4226.7,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1965270.10494,668,8,13,0668-08-13,0,-0.7205,0.6641,4226.7,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1965417.62696,669,1,8,0669-01-08,1,-1.361,1.3904,4219.4,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
