jd_tt,year,month,day,date_julian_cal,weekday,gamma,geo_sep_deg,delta_t_central_s,delta_t_sigma_s,Armagh_mag_central,Armagh_alt_central,Armagh_ut_central,Armagh_mag_max_over_dt,Armagh_mag_min_over_dt,Iona_mag_central,Iona_alt_central,Iona_ut_central,Iona_mag_max_over_dt,Iona_mag_min_over_dt,Clonmacnoise_mag_central,Clonmacnoise_alt_central,Clonmacnoise_ut_central,Clonmacnoise_mag_max_over_dt,Clonmacnoise_mag_min_over_dt,Bangor_mag_central,Bangor_alt_central,Bangor_ut_central,Bangor_mag_max_over_dt,Bangor_mag_min_over_dt,Jarrow_mag_central,Jarrow_alt_central,Jarrow_ut_central,Jarrow_mag_max_over_dt,Jarrow_mag_min_over_dt,Rome_mag_central,Rome_alt_central,Rome_ut_central,Rome_mag_max_over_dt,Rome_mag_min_over_dt,Constantinople_mag_central,Constantinople_alt_central,Constantinople_ut_central,Constantinople_mag_max_over_dt,Constantinople_mag_min_over_dt,Alexandria_mag_central,Alexandria_alt_central,Alexandria_ut_central,Alexandria_mag_max_over_dt,Alexandria_mag_min_over_dt,irish_mag_central,irish_mag_max_over_dt,irish_mag_min_over_dt
1867169.23069,400,1,12,0400-01-12,4,-0.2733,0.2466,6535.1,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1867346.7192,400,7,8,0400-07-08,0,0.4166,0.4143,6535.1,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.3166,-0.7,02:36,0.3808,0.2678,0.0,,,0.0,0.0,0.0,0.0,0.0
1867523.35535,400,12,31,0400-12-31,1,-0.9473,0.8933,6535.1,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1867671.70655,401,5,29,0401-05-29,3,-1.5078,1.3864,6525.7,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1867701.20629,401,6,27,0401-06-27,4,1.2292,1.1594,6525.7,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1867848.30947,401,11,21,0401-11-21,4,1.1532,1.1707,6525.7,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1868025.77996,402,5,18,0402-05-18,0,-0.7798,0.6992,6516.2,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1868202.9654,402,11,11,0402-11-11,2,0.4911,0.499,6516.2,50.0,0.8077,-0.3,07:57,0.8162,0.7967,0.7561,-0.7,08:01,0.7579,0.7445,0.8436,-0.7,07:55,0.849,0.8327,0.7916,0.0,07:57,0.8025,0.7803,0.7472,2.1,07:59,0.7584,0.7356,0.8957,17.7,07:59,0.9131,0.8786,0.6746,27.4,08:17,0.6935,0.6556,0.8608,36.9,08:21,0.8832,0.8384,0.8436,0.849,0.8327
1868379.83618,403,5,7,0403-05-07,4,-0.007,0.0065,6506.8,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1868557.52957,403,11,1,0403-11-01,0,-0.1966,0.1915,6506.8,50.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
