year,first,lunar_date,lunar_umbral_mag,lunar_total,solar_date,solar_irish_mag,gap_days
402,solar,0402-11-26,0.059,False,0402-11-11,0.844,14.57
413,solar,0413-05-02,0.38,False,0413-04-16,0.973,15.51
437,solar,0437-12-28,1.338,True,0437-12-13,0.576,15.19
442,solar,0442-10-05,0.366,False,0442-09-20,0.582,15.54
453,solar,0453-03-11,0.344,False,0453-02-24,0.715,14.45
460,solar,0460-10-16,0.394,False,0460-09-30,0.524,15.55
467,solar,0467-06-03,0.792,False,0467-05-19,0.708,15.45
485,solar,0485-06-14,0.937,False,0485-05-29,0.812,15.43
492,solar,0492-01-30,1.418,True,0492-01-15,0.542,15.08
507,solar,0507-04-13,0.636,False,0507-03-29,0.934,14.55
509,lunar,0509-08-16,0.814,False,0509-08-31,0.552,15.39
514,solar,0514-11-18,0.427,False,0514-11-02,0.509,15.59
538,lunar,0538-01-31,0.647,False,0538-02-15,0.666,15.27
549,lunar,0549-06-26,1.022,True,0549-07-10,0.694,14.72
550,solar,0550-12-10,0.425,False,0550-11-24,0.637,15.6
561,solar,0561-05-15,1.006,True,0561-04-30,0.853,14.66
563,lunar,0563-09-18,0.584,False,0563-10-03,0.775,15.33
565,solar,0565-03-02,0.382,False,0565-02-16,0.87,14.24
590,solar,0590-10-18,0.783,False,0590-10-04,0.719,14.27
592,lunar,0592-03-04,0.483,False,0592-03-19,0.573,15.34
594,solar,0594-08-07,0.34,False,0594-07-23,1.061,14.64
604,solar,0605-01-11,0.433,False,0604-12-26,0.641,15.6
612,solar,0612-08-17,0.46,False,0612-08-02,0.784,14.6
615,solar,0615-06-17,1.414,True,0615-06-02,0.583,14.79
619,solar,0619-04-04,0.691,False,0619-03-21,0.871,14.12
634,solar,0634-06-17,0.149,False,0634-06-01,0.811,15.41
644,solar,0644-11-19,0.841,False,0644-11-05,0.767,14.38
648,solar,0648-09-07,0.666,False,0648-08-24,0.594,14.53
659,solar,0659-02-13,0.51,False,0659-01-28,0.687,15.57
666,solar,0666-09-19,0.749,False,0666-09-04,0.93,14.5
688,solar,0688-07-18,0.526,False,0688-07-03,0.744,15.47
