date_julian_cal,year,weekday,gamma,irish_mag_central,Armagh_mag_central,Armagh_ut_central,Armagh_alt_central,Iona_mag_central,Clonmacnoise_mag_central,Rome_mag_central,Constantinople_mag_central,Alexandria_mag_central,irish_mag_min_over_dt,irish_mag_max_over_dt
0413-04-16,413.0,3.0,0.6077,0.9724,0.9561,13:03,45.6,0.9115,0.9724,0.6301,0.5744,0.2707,0.9637,0.9807
0458-05-28,458.0,3.0,0.5248,0.9464,0.9358,11:18,55.4,0.8938,0.9464,0.5981,0.4976,0.18,0.9338,0.9585
0473-08-09,473.0,4.0,0.9603,0.9464,0.9331,19:54,0.9,0.9464,0.9205,0.0,0.0,0.0,0.9459,0.9511
0507-03-29,507.0,4.0,0.6642,0.9344,0.9321,13:34,38.1,0.8942,0.9344,0.5871,0.5034,0.2247,0.9343,0.9345
0536-09-01,536.0,1.0,0.6639,0.9459,0.9459,12:44,43.3,0.9428,0.9375,0.8839,0.7003,0.7956,0.9459,0.9461
0585-08-01,585.0,3.0,0.7439,0.9333,0.8966,06:03,10.5,0.9333,0.8831,0.4714,0.3365,0.0323,0.9263,0.9408
0594-07-23,594.0,5.0,0.5536,1.0612,1.061,06:11,13.4,0.9893,1.0605,0.5567,0.4384,0.1123,1.0609,1.0614
0603-08-12,603.0,1.0,0.6858,0.9216,0.8932,15:30,37.1,0.8603,0.9216,0.9364,0.8324,1.0551,0.9111,0.9319
0639-09-03,639.0,5.0,0.5882,0.9748,0.9748,05:44,-0.1,0.9294,0.9447,0.672,0.6295,0.3159,0.9722,1.047
0650-02-06,650.0,6.0,0.6641,0.9243,0.8829,16:10,8.4,0.9243,0.8728,0.3929,0.0,0.0,0.9138,0.9342
0661-07-02,661.0,5.0,0.8336,0.9633,0.9631,04:56,6.2,0.9578,0.9628,0.684,0.5234,0.3177,0.9632,0.9635
0664-05-01,664.0,3.0,0.4657,1.0418,0.9936,17:15,22.5,0.9862,0.9618,0.7387,0.413,0.0,1.0415,1.042
0666-09-04,666.0,5.0,0.7744,0.93,0.9076,14:55,33.2,0.8911,0.93,0.8276,0.7414,0.8642,0.9168,0.9435
0698-12-08,698.0,0.0,0.8801,0.9079,0.9078,10:37,9.3,0.9074,0.9079,0.9116,0.9018,0.8692,0.9078,0.908
0704-03-10,704.0,1.0,0.5618,0.9088,0.858,16:18,17.2,0.9088,0.8397,0.3924,0.19,0.0,0.9015,0.9167
0713-03-01,713.0,3.0,0.815,0.9266,0.8914,14:14,26.5,0.9266,0.8823,0.4415,0.304,0.004,0.9177,0.9348
0733-08-14,733.0,5.0,0.539,0.9463,0.9237,08:44,30.4,0.8754,0.9463,0.7177,0.7755,0.5147,0.9457,0.9498
0764-06-04,764.0,1.0,0.5196,0.9681,0.9568,10:52,54.4,0.9083,0.9681,0.6349,0.6815,0.4224,0.968,0.9682
0807-02-11,807.0,4.0,0.9675,0.9162,0.9162,10:47,18.7,0.9159,0.9124,0.6776,0.5079,0.2994,0.9158,0.9163
0849-05-25,849.0,6.0,0.7793,0.9358,0.902,20:32,0.4,0.9358,0.8747,0.0,0.0,0.0,0.9255,0.9449
0865-01-01,865.0,1.0,0.9517,0.9951,0.9951,14:03,10.9,0.9898,0.9946,0.6939,0.5128,0.2646,0.9897,1.006
0878-10-29,878.0,3.0,0.9405,1.0251,1.0251,13:14,19.5,0.995,0.996,0.8907,0.8308,0.6255,1.025,1.0251
0885-06-16,885.0,3.0,0.6319,1.0768,0.9713,09:47,47.5,1.0768,0.9586,0.4773,0.357,0.0254,1.0766,1.077
0934-04-16,934.0,3.0,0.5538,0.9608,0.9321,17:01,21.7,0.884,0.9608,0.7924,0.4473,0.0,0.957,0.9614
0968-12-22,968.0,2.0,0.9109,0.9799,0.9621,08:51,-0.7,0.8906,0.9799,1.0285,1.0306,0.8458,0.9474,0.9799
1006-05-29,1006.0,3.0,0.8396,0.9735,0.9589,20:36,0.7,0.9418,0.9735,0.0,0.0,0.0,0.9721,0.9836
1023-01-24,1023.0,4.0,0.8878,0.9976,0.9888,12:21,17.9,0.979,0.9871,0.6532,0.39,0.1347,0.9854,1.0361
1037-04-18,1037.0,1.0,0.8608,0.9341,0.9238,09:05,33.4,0.9341,0.929,0.574,0.3093,0.1136,0.924,0.946
1039-08-22,1039.0,3.0,0.4891,0.9281,0.892,11:21,44.0,0.8447,0.9281,0.894,0.6526,0.7724,0.9163,0.9393
1064-04-19,1064.0,1.0,0.6559,0.9229,0.877,13:32,46.9,0.9229,0.8581,0.5006,0.5018,0.2318,0.9181,0.9279
1109-05-31,1109.0,1.0,0.5595,0.9192,0.8681,12:55,58.0,0.9192,0.8473,0.4912,0.5426,0.2815,0.9149,0.9238
1133-08-02,1133.0,3.0,0.5425,1.064,0.9628,11:25,49.9,1.064,0.9247,0.8797,0.9449,0.9587,1.064,1.0641
1140-03-20,1140.0,3.0,0.6136,0.9773,0.9583,14:46,31.6,0.9119,0.9773,0.6523,0.5915,0.2795,0.9693,0.9832
1147-10-26,1147.0,0.0,0.7207,0.9157,0.8758,09:35,13.6,0.9157,0.8433,0.8952,0.8423,0.9595,0.9032,0.9264
1180-01-28,1180.0,1.0,0.727,0.9448,0.944,16:39,3.4,0.9081,0.9448,0.4002,0.0,0.0,0.9446,0.9449
1185-05-01,1185.0,3.0,0.5264,0.9982,0.9426,14:03,48.1,0.9982,0.9217,0.4804,0.482,0.1681,0.9908,1.0718
1191-06-23,1191.0,0.0,0.4832,0.9535,0.9535,10:59,55.0,0.9164,0.9535,0.705,0.8413,0.6318,0.9534,0.9536
