jd_tt,year,month,day,date_julian_cal,weekday,kind,umbral_mag,penumbral_mag,beta_deg,delta_t_s,umbral_duration_h,irish_site,moon_alt_deg,frac_umbral_visible,visible_from_ireland
1867331.30091,400,6,22,0400-06-22,5,partial umbral,0.0253,1.076,0.9299,6535.0,0.63,,-90.0,0.0,False
1867509.35895,400,12,17,0400-12-17,1,total,1.0663,2.1235,0.4093,6535.0,3.37,Armagh,35.0,1.0,True
1867685.72433,401,6,12,0401-06-12,3,total,1.5421,2.5367,0.1814,6526.0,3.59,Clonmacnoise,10.8,0.4,True
1867863.55919,401,12,7,0401-12-07,6,total,1.3213,2.4338,0.2487,6526.0,3.74,Clonmacnoise,59.7,1.0,True
1868040.38338,402,6,1,0402-06-01,0,partial umbral,0.8611,1.8219,0.576,6516.0,2.97,,-90.0,0.0,False
1868217.53066,402,11,26,0402-11-26,3,partial umbral,0.0594,1.1873,0.8604,6516.0,1.0,Clonmacnoise,56.7,1.0,True
1868365.77228,403,4,23,0403-04-23,4,penumbral,-0.4035,0.5914,1.2323,6507.0,0.0,,,0.0,False
1868395.09857,403,5,22,0403-05-22,5,penumbral,-0.4963,0.4742,1.3158,6507.0,0.0,,,0.0,False
1868541.94496,403,10,16,0403-10-16,5,penumbral,-0.522,0.5316,1.238,6507.0,0.0,,,0.0,False
1868571.57585,403,11,15,0403-11-15,0,penumbral,-1.0821,0.0081,1.4775,6507.0,0.0,,,0.0,False
1868720.21208,404,4,11,0404-04-11,1,partial umbral,0.8759,1.9288,0.4984,6497.0,3.24,,-90.0,0.0,False
1868896.44294,404,10,4,0404-10-04,2,partial umbral,0.8814,1.8801,0.5469,6497.0,3.03,Clonmacnoise,34.7,1.0,True
1869074.34746,405,3,31,0405-03-31,5,total,1.4211,2.5186,0.2005,6488.0,3.84,Armagh,10.9,0.24,True
1869251.10625,405,9,24,0405-09-24,0,total,1.6087,2.589,0.155,6488.0,3.49,,-90.0,0.0,False
1869428.3538,406,3,20,0406-03-20,2,partial umbral,0.0811,1.1762,0.8647,6478.0,1.15,,-90.0,0.0,False
1869605.74131,406,9,14,0406-09-14,5,partial umbral,0.2743,1.2817,0.865,6478.0,1.89,Clonmacnoise,23.9,1.0,True
1869753.02674,407,2,8,0407-02-08,5,penumbral,-0.2124,0.8157,1.1061,6469.0,0.0,,,0.0,False
1869930.58579,407,8,5,0407-08-05,1,penumbral,-0.2569,0.8212,1.0469,6469.0,0.0,,,0.0,False
1870107.60555,408,1,29,0408-01-29,3,total,1.1441,2.1336,0.4099,6459.0,3.26,Clonmacnoise,54.6,1.0,True
1870284.62731,408,7,24,0408-07-24,5,total,1.0753,2.1716,0.3696,6459.0,3.6,Clonmacnoise,15.5,1.0,True
1870462.26927,409,1,17,0409-01-17,0,total,1.3745,2.3684,0.2801,6450.0,3.42,Iona,12.6,0.32,True
1870638.70332,409,7,13,0409-07-13,2,total,1.1977,2.2624,0.3259,6450.0,3.61,Clonmacnoise,13.3,0.6,True
1870816.82272,410,1,7,0410-01-07,5,partial umbral,0.0335,1.0741,0.9671,6440.0,0.7,Clonmacnoise,25.7,1.0,True
1870963.70895,410,6,3,0410-06-03,5,penumbral,-0.8199,0.1614,1.4741,6440.0,0.0,,,0.0,False
1870993.05745,410,7,2,0410-07-02,6,penumbral,-0.1269,0.8806,1.0628,6440.0,0.0,,,0.0,False
1871141.34092,410,11,27,0410-11-27,0,penumbral,-0.4808,0.6415,1.1324,6440.0,0.0,,,0.0,False
1871318.40234,411,5,23,0411-05-23,2,partial umbral,0.5747,1.534,0.7373,6431.0,2.54,,-90.0,0.0,False
1871495.29892,411,11,16,0411-11-16,4,partial umbral,0.7466,1.8677,0.5278,6431.0,3.16,Iona,21.4,0.64,True
1871673.09763,412,5,12,0412-05-12,0,total,1.8612,2.8431,0.0135,6422.0,3.61,,-90.0,0.0,False
1871849.41867,412,11,4,0412-11-04,1,total,1.611,2.683,0.1185,6422.0,3.74,Clonmacnoise,44.1,1.0,True
1872027.60412,413,5,2,0413-05-02,5,partial umbral,0.3799,1.4159,0.7655,6412.0,2.28,Clonmacnoise,21.2,1.0,True
1872203.84682,413,10,25,0413-10-25,6,partial umbral,0.3899,1.4032,0.8049,6412.0,2.2,Clonmacnoise,15.8,0.6,True
1872352.15346,414,3,22,0414-03-22,0,penumbral,-0.508,0.5963,1.1437,6403.0,0.0,,,0.0,False
1872529.09012,414,9,15,0414-09-15,2,penumbral,-0.2642,0.7178,1.1937,6403.0,0.0,,,0.0,False
1872558.4805,414,10,14,0414-10-14,3,penumbral,-0.763,0.2217,1.4778,6403.0,0.0,,,0.0,False
1872706.17753,415,3,11,0415-03-11,4,partial umbral,0.855,1.9422,0.4888,6393.0,3.28,,-90.0,0.0,False
1872883.68674,415,9,5,0415-09-05,0,partial umbral,0.9603,1.98,0.4833,6393.0,3.21,Clonmacnoise,28.7,1.0,True
1873060.44159,416,2,28,0416-02-28,1,total,1.4569,2.4925,0.2117,6384.0,3.62,Clonmacnoise,36.3,1.0,True
1873238.02946,416,8,24,0416-08-24,4,total,1.3798,2.4531,0.2326,6384.0,3.72,,-90.0,0.0,False
1873414.98531,417,2,17,0417-02-17,6,partial umbral,0.2071,1.1977,0.9238,6374.0,1.63,,-90.0,0.0,False
1873592.09771,417,8,13,0417-08-13,1,penumbral,-0.0203,1.0812,0.9054,6374.0,0.0,,,0.0,False
1873740.22648,418,1,8,0418-01-08,2,penumbral,-0.1166,0.8884,1.0932,6365.0,0.0,,,0.0,False
1873916.58464,418,7,4,0418-07-04,4,penumbral,-0.1113,0.937,1.0033,6365.0,0.0,,,0.0,False
