jd_tt,year,month,day,date_julian_cal,weekday,kind,umbral_mag,penumbral_mag,beta_deg,delta_t_s,umbral_duration_h,irish_site,moon_alt_deg,frac_umbral_visible,visible_from_ireland
2415508.27129,1901,5,3,1901-05-03,5,penumbral,-0.025,1.0734,0.9097,1.0,0.0,,,0.0,False
2415685.13576,1901,10,27,1901-10-27,0,partial umbral,0.2279,1.2108,0.9232,1.0,1.68,,-90.0,0.0,False
2415862.28647,1902,4,22,1902-04-22,2,total,1.3411,2.4304,0.244,2.0,3.76,Armagh,7.5,0.12,True
2416039.75228,1902,10,17,1902-10-17,5,total,1.4646,2.4796,0.2177,2.0,3.55,Clonmacnoise,23.4,0.6,True
2416216.509,1903,4,12,1903-04-12,0,partial umbral,0.9761,2.0169,0.459,2.0,3.29,Clonmacnoise,28.2,1.0,True
2416394.13724,1903,10,6,1903-10-06,2,partial umbral,0.873,1.9422,0.4935,2.0,3.25,,-90.0,0.0,False
2416541.62664,1904,3,2,1904-03-02,3,penumbral,-0.7814,0.2041,1.4838,3.0,0.0,,,0.0,False
2416571.02249,1904,3,31,1904-03-31,4,penumbral,-0.2618,0.7304,1.175,3.0,0.0,,,0.0,False
2416748.23247,1904,9,24,1904-09-24,6,penumbral,-0.5311,0.5734,1.1571,3.0,0.0,,,0.0,False
2416896.29172,1905,2,19,1905-02-19,0,partial umbral,0.4143,1.4101,0.8089,3.0,2.23,Armagh,19.7,0.8,True
2417072.65339,1905,8,15,1905-08-15,2,partial umbral,0.2949,1.3549,0.7865,3.0,2.08,Clonmacnoise,17.2,0.88,True
2417250.8243,1906,2,9,1906-02-09,5,total,1.6331,2.6793,0.1164,4.0,3.67,Clonmacnoise,17.9,0.4,True
2417427.04177,1906,8,4,1906-08-04,6,total,1.7891,2.7913,0.0464,4.0,3.66,,-90.0,0.0,False
2417605.0681,1907,1,29,1907-01-29,2,partial umbral,0.7194,1.824,0.5526,4.0,3.08,,-90.0,0.0,False
2417781.6822,1907,7,25,1907-07-25,4,partial umbral,0.6239,1.5876,0.7061,4.0,2.64,Clonmacnoise,8.5,0.32,True
2417959.05669,1908,1,18,1908-01-18,6,penumbral,-0.5613,0.5667,1.1638,5.0,0.0,,,0.0,False
2418107.08793,1908,6,14,1908-06-14,0,penumbral,-0.1466,0.8407,1.1006,5.0,0.0,,,0.0,False
2418136.39859,1908,7,13,1908-07-13,1,penumbral,-0.7113,0.2567,1.4391,5.0,0.0,,,0.0,False
2418283.41329,1908,12,7,1908-12-07,1,penumbral,-0.0015,1.0637,0.957,5.0,0.0,,,0.0,False
2418461.56176,1909,6,4,1909-06-04,5,total,1.166,2.2089,0.3545,5.0,3.52,Clonmacnoise,14.1,1.0,True
2418637.87133,1909,11,27,1909-11-27,6,total,1.3746,2.3832,0.2722,5.0,3.46,Iona,7.8,0.16,True
2418815.73213,1910,5,24,1910-05-24,2,total,1.1028,2.1919,0.3599,6.0,3.61,,-90.0,0.0,False
2418992.51459,1910,11,17,1910-11-17,4,total,1.1353,2.1208,0.418,6.0,3.24,Clonmacnoise,55.4,1.0,True
2419169.74745,1911,5,13,1911-05-13,6,penumbral,-0.2635,0.8276,1.0333,6.0,0.0,,,0.0,False
2419347.15049,1911,11,6,1911-11-06,1,penumbral,-0.1638,0.845,1.1077,6.0,0.0,,,0.0,False
2419494.42659,1912,4,1,1912-04-01,1,partial umbral,0.1901,1.2169,0.8864,7.0,1.62,Clonmacnoise,28.4,1.0,True
2419671.98958,1912,9,26,1912-09-26,4,partial umbral,0.1263,1.2075,0.8585,7.0,1.41,,-90.0,0.0,False
2419848.9984,1913,3,22,1913-03-22,6,total,1.5787,2.564,0.1691,8.0,3.51,,-90.0,0.0,False
2420026.03349,1913,9,15,1913-09-15,1,total,1.4376,2.5415,0.1901,8.0,3.86,,-90.0,0.0,False
2420203.67574,1914,3,12,1914-03-12,4,partial umbral,0.9186,1.9035,0.5366,8.0,3.04,Clonmacnoise,33.5,1.0,True
2420380.07974,1914,9,4,1914-09-04,5,partial umbral,0.8668,1.9425,0.4877,8.0,3.29,,-90.0,0.0,False
2420528.7068,1915,1,31,1915-01-31,0,penumbral,-0.9918,0.0734,1.4697,9.0,0.0,,,0.0,False
2420558.26355,1915,3,1,1915-03-01,1,penumbral,-0.4447,0.5834,1.2317,9.0,0.0,,,0.0,False
