date_julian_cal,year,weekday,type,kind,magnitude,best_site,diagnostic,why,note
0400-12-17,400,1,lunar,total,1.066,Armagh,blind,,"Moon 35.0 deg up, 1.0 of umbral phase in a dark sky"
0401-06-12,401,3,lunar,total,1.542,Clonmacnoise,blind,,"Moon 10.8 deg up, 0.4 of umbral phase in a dark sky"
0401-12-07,401,6,lunar,total,1.321,Clonmacnoise,blind,,"Moon 59.7 deg up, 1.0 of umbral phase in a dark sky"
0402-06-01,402,,lunar,partial umbral,0.8611,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0402-11-11,402,2,solar,partial,0.844,Clonmacnoise,blind,,UT 07:57 at Armagh
0402-11-26,402,3,lunar,partial umbral,0.059,Clonmacnoise,blind,,"Moon 56.7 deg up, 1.0 of umbral phase in a dark sky"
0404-04-25,404,1,solar,partial,0.527,Iona,blind,,UT 14:42 at Armagh
0404-10-04,404,2,lunar,partial umbral,0.881,Clonmacnoise,blind,,"Moon 34.7 deg up, 1.0 of umbral phase in a dark sky"
0405-03-31,405,5,lunar,total,1.421,Armagh,blind,,"Moon 10.9 deg up, 0.24 of umbral phase in a dark sky"
0406-03-20,406,,lunar,partial umbral,0.0811,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0406-09-14,406,5,lunar,partial umbral,0.274,Clonmacnoise,blind,,"Moon 23.9 deg up, 1.0 of umbral phase in a dark sky"
0408-01-29,408,3,lunar,total,1.144,Clonmacnoise,blind,,"Moon 54.6 deg up, 1.0 of umbral phase in a dark sky"
0408-07-24,408,5,lunar,total,1.075,Clonmacnoise,blind,,"Moon 15.5 deg up, 1.0 of umbral phase in a dark sky"
0409-01-17,409,0,lunar,total,1.375,Iona,blind,,"Moon 12.6 deg up, 0.32 of umbral phase in a dark sky"
0409-07-13,409,2,lunar,total,1.198,Clonmacnoise,blind,,"Moon 13.3 deg up, 0.6 of umbral phase in a dark sky"
0410-01-07,410,5,lunar,partial umbral,0.034,Clonmacnoise,blind,,"Moon 25.7 deg up, 1.0 of umbral phase in a dark sky"
0411-05-23,411,,lunar,partial umbral,0.5747,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0411-11-16,411,4,lunar,partial umbral,0.747,Iona,blind,,"Moon 21.4 deg up, 0.64 of umbral phase in a dark sky"
0412-11-04,412,1,lunar,total,1.611,Clonmacnoise,blind,,"Moon 44.1 deg up, 1.0 of umbral phase in a dark sky"
0413-04-16,413,3,solar,deep partial,0.973,Clonmacnoise,totality-in-ireland,umbral track 39.0 km from the island,UT 13:03 at Armagh
0413-05-02,413,5,lunar,partial umbral,0.38,Clonmacnoise,blind,,"Moon 21.2 deg up, 1.0 of umbral phase in a dark sky"
0413-10-25,413,6,lunar,partial umbral,0.39,Clonmacnoise,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 15.8 deg up, 0.6 of umbral phase in a dark sky"
0415-09-05,415,0,lunar,partial umbral,0.96,Clonmacnoise,blind,,"Moon 28.7 deg up, 1.0 of umbral phase in a dark sky"
0416-02-28,416,1,lunar,total,1.457,Clonmacnoise,blind,,"Moon 36.3 deg up, 1.0 of umbral phase in a dark sky"
0418-07-19,418,5,solar,partial,0.663,Clonmacnoise,blind,,UT 10:13 at Armagh
0418-12-29,418,0,lunar,total,1.057,Clonmacnoise,blind,,"Moon 56.8 deg up, 1.0 of umbral phase in a dark sky"
0419-12-18,419,4,lunar,total,1.329,Clonmacnoise,blind,,"Moon 22.8 deg up, 0.56 of umbral phase in a dark sky"
0420-06-12,420,6,lunar,partial umbral,0.999,Clonmacnoise,blind,,"Moon 11.3 deg up, 0.6 of umbral phase in a dark sky"
0420-12-06,420,1,lunar,partial umbral,0.072,Clonmacnoise,local-if-recorded,"above the Irish horizon, below the Mediterranean one","Moon 17.6 deg up, 1.0 of umbral phase in a dark sky"
0422-04-23,422,0,lunar,partial umbral,0.746,Clonmacnoise,blind,,"Moon 23.0 deg up, 1.0 of umbral phase in a dark sky"
0422-10-16,422,1,lunar,partial umbral,0.848,Clonmacnoise,blind,,"Moon 27.0 deg up, 0.88 of umbral phase in a dark sky"
0423-04-12,423,4,lunar,total,1.549,Clonmacnoise,blind,,"Moon 27.4 deg up, 1.0 of umbral phase in a dark sky"
0423-10-05,423,5,lunar,total,1.653,Clonmacnoise,blind,,"Moon 38.8 deg up, 1.0 of umbral phase in a dark sky"
0424-03-31,424,1,lunar,partial umbral,0.199,Clonmacnoise,blind,,"Moon 31.0 deg up, 1.0 of umbral phase in a dark sky"
0427-01-29,427,6,lunar,total,1.4,Clonmacnoise,blind,,"Moon 53.9 deg up, 1.0 of umbral phase in a dark sky"
0428-07-12,428,,lunar,partial umbral,0.0121,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0429-06-03,429,1,lunar,partial umbral,0.441,Clonmacnoise,blind,,"Moon 8.9 deg up, 0.44 of umbral phase in a dark sky"
0429-11-27,429,3,lunar,partial umbral,0.737,Clonmacnoise,blind,,"Moon 58.5 deg up, 1.0 of umbral phase in a dark sky"
0430-05-23,430,5,lunar,total,1.775,Clonmacnoise,blind,,"Moon 6.7 deg up, 0.12 of umbral phase in a dark sky"
0430-11-16,430,0,lunar,total,1.624,Clonmacnoise,blind,,"Moon 44.3 deg up, 1.0 of umbral phase in a dark sky"
0431-11-05,431,,lunar,partial umbral,0.4094,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0433-03-21,433,2,lunar,partial umbral,0.765,Clonmacnoise,blind,,"Moon 31.7 deg up, 1.0 of umbral phase in a dark sky"
0433-09-29,433,5,solar,partial,0.788,Iona,blind,,UT 09:40 at Armagh
0434-03-11,434,0,lunar,total,1.535,Clonmacnoise,blind,,"Moon 33.1 deg up, 0.96 of umbral phase in a dark sky"
