date_julian_cal,year,weekday,gamma,irish_mag_central,Armagh_mag_central,Armagh_ut_central,Armagh_alt_central,Iona_mag_central,Clonmacnoise_mag_central,Rome_mag_central,Constantinople_mag_central,Alexandria_mag_central,irish_mag_min_over_dt,irish_mag_max_over_dt
0437-07-19,437.0,1.0,1.0874,0.5537,0.4633,04:14,-0.8,0.5537,0.3168,0.1866,0.0803,0.0,0.5471,0.5566
0442-09-20,442.0,0.0,0.6424,0.5817,0.5035,06:10,-0.8,0.5817,0.4136,0.2359,0.278,0.0,0.5235,0.612
0594-07-23,594.0,5.0,0.5536,1.0612,1.061,06:11,13.4,0.9893,1.0605,0.5567,0.4384,0.1123,1.0609,1.0614
0615-06-02,615.0,1.0,1.1333,0.5831,0.3901,03:55,-0.7,0.5831,0.2441,0.1546,0.2392,0.026,0.5501,0.5936
0745-06-04,745.0,5.0,1.1722,0.5003,0.3493,20:53,-0.8,0.5003,0.2848,0.0,0.0,0.0,0.4829,0.5111
0813-05-04,813.0,3.0,0.9209,0.5843,0.3263,04:34,-0.9,0.5843,0.1001,0.5586,0.9663,0.8241,0.4729,0.6555
0854-07-28,854.0,6.0,0.9387,0.8077,0.6364,20:25,-0.8,0.8077,0.6007,0.0,0.0,0.0,0.7558,0.8712
0885-06-16,885.0,3.0,0.6319,1.0768,0.9713,09:47,47.5,1.0768,0.9586,0.4773,0.357,0.0254,1.0766,1.077
0932-11-30,932.0,5.0,0.9173,0.7268,0.5614,16:05,-0.7,0.4239,0.7268,0.0,0.0,0.0,0.626,0.7968
0945-09-09,945.0,2.0,0.5233,0.7314,0.6571,05:56,-0.9,0.7314,0.5569,0.4412,0.4479,0.1671,0.6791,0.8031
1133-08-02,1133.0,3.0,0.5425,1.064,0.9628,11:25,49.9,1.064,0.9247,0.8797,0.9449,0.9587,1.064,1.0641
1192-12-06,1192.0,0.0,0.723,0.7649,0.6821,16:03,-0.8,0.5511,0.7649,0.0608,0.0,0.0,0.7326,0.7674
