date_julian_cal,year,weekday,gamma,central_line_km_from_ireland,central_line_km_from_dal_riata,nearest_track_lat,nearest_track_lon,crossed_ireland,crossed_dal_riata,delta_t_s
0413-04-16,413,3,0.6077,39.0,359.0,51.24,-9.23,True,False,6412.0
0507-03-29,507,4,0.6642,6.0,277.0,51.59,-9.56,True,False,5520.0
0536-09-01,536,1,0.6639,9.0,86.0,55.0,-7.19,True,True,5247.0
0594-07-23,594,5,0.5536,18.0,98.0,54.51,-6.63,True,True,4707.0
0661-07-02,661,5,0.8336,15.0,122.0,52.79,-8.69,True,False,4101.0
0664-05-01,664,3,0.4657,20.0,47.0,55.25,-6.99,True,True,4074.0
0698-12-08,698,0,0.8801,25.0,177.0,54.39,-8.14,True,False,3778.0
0733-08-14,733,5,0.539,18.0,409.0,51.71,-9.43,True,False,3481.0
0764-06-04,764,1,0.5196,3.0,245.0,53.33,-6.28,True,False,3227.0
0865-01-01,865,1,0.9517,31.0,56.0,54.07,-8.14,True,True,2466.0
0878-10-29,878,3,0.9405,15.0,113.0,54.46,-6.53,True,True,2376.0
0885-06-16,885,3,0.6319,182.0,105.0,56.55,-8.95,False,True,2329.0
0934-04-16,934,3,0.5538,18.0,379.0,52.21,-6.87,True,False,2016.0
1006-05-29,1006,3,0.8396,93.0,356.0,53.47,-10.41,True,False,1621.0
1023-01-24,1023,4,0.8878,81.0,188.0,51.83,-6.17,True,False,1539.0
1039-08-22,1039,3,0.4891,47.0,538.0,51.21,-9.89,True,False,1467.0
1133-08-02,1133,3,0.5425,192.0,54.0,56.77,-6.02,False,True,1110.0
1140-03-20,1140,3,0.6136,63.0,401.0,51.04,-9.1,True,False,1088.0
1180-01-28,1180,1,0.727,34.0,245.0,52.66,-7.37,True,False,969.0
1191-06-23,1191,0,0.4832,17.0,172.0,54.05,-6.47,True,False,939.0
