witness,year,idx,id,raw_id,is_kalend,n_words,SCOT,SCOT_AMBIG,INSULAR,MIDLAND,MUNSTER,TERRITORY,IONA,sha1
AU,431,0,AU431.0,U431.0,1,14,0,0,0,0,0,0,0,7be0294c41a4
AU,431,1,AU431.1,U431.1,0,41,0,0,0,0,0,0,0,c01d5d58e290
AU,432,0,AU432.0,U432.0,1,17,0,0,0,0,0,0,0,0abb53348ee8
AU,432,1,AU432.1,U432.1,0,40,0,0,0,0,0,0,0,6ee3e7bc8df0
AU,432,2,AU432.2,U432.2,0,48,0,0,0,0,0,0,0,78f338c6c365
AU,433,0,AU433.0,U433.0,1,8,0,0,0,0,0,0,0,13a85d324307
AU,434,0,AU434.0,U434.0,1,14,0,0,0,0,0,0,0,42a65250bc81
AU,434,1,AU434.1,U434.1,0,11,0,0,1,0,0,0,0,061566ba4375
AU,435,0,AU435.0,U435.0,1,14,0,0,0,0,0,0,0,b49ed800a103
AU,435,1,AU435.1,U435.1,0,6,0,0,0,0,1,0,0,28a9cd1c3984
AU,435,2,AU435.2,U435.2,0,13,0,0,0,0,0,0,0,a4cf30d0a3f7
AU,436,0,AU436.0,U436.0,1,14,0,0,0,0,0,0,0,1d7369d76740
AU,436,1,AU436.1,U436.1,0,6,0,0,0,0,0,0,0,e69d8352429c
AU,436,2,AU436.2,U436.2,0,16,0,0,0,0,0,0,0,271d5ac3f4f7
AU,436,3,AU436.3,U436.3,0,8,0,0,0,0,0,0,0,26872b7ed563
AU,437,0,AU437.0,U437.0,1,16,0,0,0,0,0,0,0,96c90096bb00
AU,437,1,AU437.1,U437.1,0,3,0,0,0,0,0,0,0,c3cf9b15a339
AU,438,0,AU438.0,U438.0,1,14,0,0,0,0,0,0,0,c182796181f1
AU,438,1,AU438.1,U438.1,0,5,0,0,0,0,0,0,0,822c240ba3a0
AU,438,2,AU438.2,U438.2,0,14,0,0,0,0,0,0,0,f255129154af
AU,439,0,AU439.0,U439.0,1,14,0,0,0,0,0,0,0,2ca59118ad6c
AU,439,1,AU439.1,U439.1,0,14,0,0,0,0,0,0,0,2158ca5083c6
AU,439,2,AU439.2,U439.2,0,12,0,0,0,0,0,0,0,04a1a4c817b2
AU,440,0,AU440.0,U440.0,1,14,0,0,0,0,0,0,0,5a831d73b2e8
AU,440,1,AU440.1,U440.1,0,26,0,0,0,0,0,0,0,7bfe1ae619b9
AU,440,2,AU440.2,U440.2,0,11,0,0,0,0,0,0,0,43cf4b44cd14
AU,440,3,AU440.3,U440.3,0,27,0,0,0,0,0,0,0,6e6f1a082ca6
AU,441,0,AU441.0,U441.0,1,6,0,0,0,0,0,0,0,d8efe9a47af7
AU,441,1,AU441.1,U441.1,0,9,0,0,0,0,0,0,0,b785985d0550
AU,441,2,AU441.2,U441.2,0,8,0,0,0,0,0,0,0,cbe0e445a6b6
AU,442,0,AU442.0,U442.0,1,7,0,0,0,0,0,0,0,6d810a8ea8b5
AU,443,0,AU443.0,U443.0,1,6,0,0,0,0,0,0,0,0110e9465ef5
AU,443,1,AU443.1,U443.1,0,18,0,0,0,0,0,0,0,19e80d538d1b
AU,444,0,AU444.0,U444.0,1,6,0,0,0,0,0,0,0,68beb2b72e87
AU,444,1,AU444.1,U444.1,0,4,0,0,0,1,0,0,0,999180fa4778
AU,444,2,AU444.2,U444.2,0,17,0,0,0,0,0,0,0,d52fe9e93287
AU,445,0,AU445.0,U445.0,1,7,0,0,0,0,0,0,0,9a82912ad79b
AU,445,1,AU445.1,U445.1,0,40,1,0,0,0,0,0,1,c17a42b1508a
AU,446,0,AU446.0,U446.0,1,14,0,0,0,0,0,0,0,c9f499af31bf
AU,446,1,AU446.1,U446.1,0,19,0,1,0,0,0,0,0,fc73e645a533
AU,447,0,AU447.0,U447.0,1,14,0,0,0,0,0,0,0,8d7fc9f12c20
AU,447,1,AU447.1,U447.1,0,11,0,0,0,0,0,0,0,91649cef3973
AU,448,0,AU448.0,U448.0,1,6,0,0,0,0,0,0,0,de8692a7fb90
AU,448,1,AU448.1,U448.1,0,31,0,0,0,0,0,0,0,2baaa98a8798
AU,449,0,AU449.0,U449.0,1,6,0,0,0,0,0,0,0,2e01b7148c02
AU,449,1,AU449.1,U449.1,0,21,0,0,0,0,0,0,0,752354decc53
AU,449,2,AU449.2,U449.2,0,41,0,0,0,0,0,0,0,58bd67dfbb41
AU,450,0,AU450.0,U450.0,1,7,0,0,0,0,0,0,0,47ae6d2ed5e0
AU,451,0,AU451.0,U451.0,1,6,0,0,0,0,0,0,0,37ab77e4770c
AU,451,1,AU451.1,U451.1,0,11,0,0,0,0,0,0,0,eafcbafb4e65
AU,451,2,AU451.2,U451.2,0,42,0,0,0,0,0,0,0,193e92db9a0d
AU,452,0,AU452.0,U452.0,1,6,0,0,0,0,0,0,0,27a542d545d4
AU,452,1,AU452.1,U452.1,0,8,0,0,0,0,0,0,0,9a231005d1a8
AU,452,2,AU452.2,U452.2,0,6,0,0,0,0,1,0,0,3f2419d9f1e9
AU,452,3,AU452.3,U452.3,0,25,0,0,0,0,0,0,0,ac0a041f319a
AU,453,0,AU453.0,U453.0,1,14,0,0,0,0,0,0,0,31c2f71b94f0
AU,453,1,AU453.1,U453.1,0,11,0,0,0,0,1,0,0,a5ebe6f60d4d
AU,454,0,AU454.0,U454.0,1,14,0,0,0,0,0,0,0,3282e85cd4dd
AU,454,1,AU454.1,U454.1,0,10,0,0,0,1,0,0,0,8b2f735fae25
AU,455,0,AU455.0,U455.0,1,7,0,0,0,0,0,0,0,12024a81e5db
AU,455,1,AU455.1,U455.1,0,4,0,0,0,0,0,0,0,da68dd98e71c
AU,456,0,AU456.0,U456.0,1,14,0,0,0,0,0,0,0,97485b9a9ecc
AU,456,1,AU456.1,U456.1,0,15,0,0,0,0,0,0,0,69185b74d493
AU,456,2,AU456.2,U456.2,0,26,0,0,0,0,0,0,0,5f27294534c5
AU,457,0,AU457.0,U457.0,1,7,0,0,0,0,0,0,0,aa3f40b91c00
AU,457,1,AU457.1,U457.1,0,5,0,0,0,0,0,0,0,a16b5e12eaaf
AU,457,2,AU457.2,U457.2,0,9,0,0,0,0,0,0,0,91a026d0e331
AU,458,0,AU458.0,U458.0,1,14,0,0,0,0,0,0,0,bf64cad5ee79
AU,458,1,AU458.1,U458.1,0,38,0,0,0,0,1,0,0,118d2cb2c908
AU,459,0,AU459.0,U459.0,1,14,0,0,0,0,0,0,0,599d6f489dd7
AU,459,1,AU459.1,U459.1,0,3,0,0,0,0,0,0,0,e40ab94a817a
AU,459,2,AU459.2,U459.2,0,13,0,0,0,0,0,0,0,159c6bc3e195
AU,460,0,AU460.0,U460.0,1,13,0,0,0,0,0,0,0,13c0ad46e6d8
AU,460,1,AU460.1,U460.1,0,25,0,0,0,0,0,0,0,d2f08b6e051e
AU,461,1,AU461.1,U461.1,0,14,0,0,0,0,0,0,0,78737c92e63d
AU,461,1,AU461.1,U461.1,0,18,0,0,0,0,0,0,0,4b021b3ad5bd
AU,461,2,AU461.2,U461.2,0,7,0,0,0,0,0,0,0,751909c993df
AU,461,3,AU461.3,U461.3,0,18,0,0,0,1,0,0,0,a7010723a449
