orientation,core,rune_value,direction,sign5,sequence,phonetic_signs,assumption_cost
published,ALU,R,left_to_right,nonphonetic,ALUR,4,0
published,ALU,R,right_to_left,nonphonetic,RULA,4,0
published,ALNG,R,left_to_right,nonphonetic,ALNGR,4,1
published,ALNG,R,right_to_left,nonphonetic,RNGLA,4,1
published,ALU,Y,left_to_right,nonphonetic,ALUY,4,1
published,ALU,Y,right_to_left,nonphonetic,YULA,4,1
published,MLU,R,left_to_right,nonphonetic,MLUR,4,1
published,MLU,R,right_to_left,nonphonetic,RULM,4,1
upended,UDA,R,left_to_right,nonphonetic,UDAR,4,1
upended,UDA,R,right_to_left,nonphonetic,RADU,4,1
published,ALNG,Y,left_to_right,nonphonetic,ALNGY,4,2
published,ALNG,Y,right_to_left,nonphonetic,YNGLA,4,2
published,ALU,R,left_to_right,P,ALURP,5,2
published,ALU,R,right_to_left,P,PRULA,5,2
published,MLNG,R,left_to_right,nonphonetic,MLNGR,4,2
published,MLNG,R,right_to_left,nonphonetic,RNGLM,4,2
published,MLU,Y,left_to_right,nonphonetic,MLUY,4,2
published,MLU,Y,right_to_left,nonphonetic,YULM,4,2
upended,NGDA,R,left_to_right,nonphonetic,NGDAR,4,2
upended,NGDA,R,right_to_left,nonphonetic,RADNG,4,2
upended,UDA,Y,left_to_right,nonphonetic,UDAY,4,2
upended,UDA,Y,right_to_left,nonphonetic,YADU,4,2
upended,UDM,R,left_to_right,nonphonetic,UDMR,4,2
upended,UDM,R,right_to_left,nonphonetic,RMDA,4,2
published,ALNG,R,left_to_right,P,ALNGRP,5,3
published,ALNG,R,right_to_left,P,PRNGLA,5,3
published,ALU,Y,left_to_right,P,ALUYP,5,3
published,ALU,Y,right_to_left,P,PYULA,5,3
published,MLNG,Y,left_to_right,nonphonetic,MLNGY,4,3
published,MLNG,Y,right_to_left,nonphonetic,YNGLM,4,3
published,MLU,R,left_to_right,P,MLURP,5,3
published,MLU,R,right_to_left,P,PRULM,5,3
upended,NGDA,Y,left_to_right,nonphonetic,NGDAY,4,3
upended,NGDA,Y,right_to_left,nonphonetic,YADNG,4,3
upended,NGDM,R,left_to_right,nonphonetic,NGDMR,4,3
upended,NGDM,R,right_to_left,nonphonetic,RMDNG,4,3
upended,UDA,R,left_to_right,P,UDARP,5,3
upended,UDA,R,right_to_left,P,PRADU,5,3
upended,UDM,Y,left_to_right,nonphonetic,UDMY,4,3
upended,UDM,Y,right_to_left,nonphonetic,YMDA,4,3
published,ALNG,Y,left_to_right,P,ALNGYP,5,4
published,ALNG,Y,right_to_left,P,PYNGLA,5,4
published,MLNG,R,left_to_right,P,MLNGRP,5,4
published,MLNG,R,right_to_left,P,PRNGLM,5,4
published,MLU,Y,left_to_right,P,MLUYP,5,4
published,MLU,Y,right_to_left,P,PYULM,5,4
upended,NGDA,R,left_to_right,P,NGDARP,5,4
upended,NGDA,R,right_to_left,P,PRADNG,5,4
upended,NGDM,Y,left_to_right,nonphonetic,NGDMY,4,4
upended,NGDM,Y,right_to_left,nonphonetic,YMDNG,4,4
upended,UDA,Y,left_to_right,P,UDAYP,5,4
upended,UDA,Y,right_to_left,P,PYADU,5,4
upended,UDM,R,left_to_right,P,UDMRP,5,4
upended,UDM,R,right_to_left,P,PRMDA,5,4
published,MLNG,Y,left_to_right,P,MLNGYP,5,5
published,MLNG,Y,right_to_left,P,PYNGLM,5,5
upended,NGDA,Y,left_to_right,P,NGDAYP,5,5
upended,NGDA,Y,right_to_left,P,PYADNG,5,5
upended,NGDM,R,left_to_right,P,NGDMRP,5,5
upended,NGDM,R,right_to_left,P,PRMDNG,5,5
upended,UDM,Y,left_to_right,P,UDMYP,5,5
upended,UDM,Y,right_to_left,P,PYMDA,5,5
upended,NGDM,Y,left_to_right,P,NGDMYP,5,6
upended,NGDM,Y,right_to_left,P,PYMDNG,5,6
