alphabet_size,lexicon_entries_per_length,candidate_4_sign,candidate_5_sign,p_any_4_sign_exact,p_any_5_sign_exact,p_any_exact_either
16,500,32,32,0.216624,0.015143,0.228487
16,1000,32,32,0.386322,0.030057,0.404767
16,5000,32,32,0.912963,0.141517,0.925280
16,10000,32,32,0.992425,0.263006,0.994417
20,500,32,32,0.095163,0.004988,0.099676
20,1000,32,32,0.181270,0.009950,0.189416
20,5000,32,32,0.632122,0.048771,0.650063
20,10000,32,32,0.864666,0.095163,0.877544
24,500,32,32,0.047081,0.002007,0.048994
24,1000,32,32,0.091945,0.004011,0.095587
24,5000,32,32,0.382610,0.019893,0.394892
24,10000,32,32,0.618829,0.039391,0.633844
